Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.176, 0.0430846698582, 0.242080107331, 0.128410845995, -295.948577881, -272.232116699, 8963.41894531, -3.61226940155, 15.2784194946
        0.177, -0.00267525506206, 0.21240593493, 0.136573135853,  816.49230957, -330.244018555, 9501.10351562, -3.72771334648, 19.4419345856
        0.178, -0.00604213448241, 0.237733155489, 0.133712694049, 989.276428223, -348.779907227, 9912.94335938, -3.58569645882, 20.9308433533
        0.179, -0.00998656731099, 0.259203493595, 0.135376140475, 1137.43774414, -356.833374023, 9886.29785156, -3.59229397774, 21.2186927795
         0.18, -0.0142308417708, 0.280388563871, 0.138811990619,  1162.7791748, -359.441436768, 9846.73828125, -3.74312758446, 21.2671432495
        0.181, -0.0183411035687, 0.30109834671, 0.143766567111,  1075.3067627, -357.504577637,  9795.3046875, -4.01275205612, 21.1178779602
        0.182, -0.0219560451806, 0.32106846571, 0.150172412395, 899.946777344, -350.605804443,  9732.3828125, -4.40282344818, 20.7261104584
        0.183, -0.02483436279, 0.340062171221, 0.158040568233, 669.849914551, -337.661193848, 9658.44335938, -4.93016433716, 19.8855400085
        0.184, -0.0268806740642, 0.357891231775, 0.167315363884, 422.586914062, -316.394256592, 9574.02539062, -5.62237262726, 18.3394260406
        0.185, -0.0281328298151, 0.37415471673, 0.177355438471, 198.295562744, -287.454681396, 9479.70507812, -6.43685150146, 16.2131252289
        0.186, -0.0286609642208, 0.388102382421, 0.186981067061, 18.4970588684, -270.197479248, 9376.06445312, -7.08066701889, 14.7761802673
        0.187, -0.0281756520271, 0.391767382622, 0.189129129052, -575.040771484, -405.895568848, 12519.9316406, -8.28676795959, 26.1068973541
        0.188, -0.0259063616395, 0.421878904104, 0.199474975467, -1049.28430176, -455.66595459, 12388.0488281, -8.32115650177, 28.4675121307
        0.189, -0.0219689644873, 0.449392735958, 0.212829381227, -1455.42993164, -484.827728271, 12237.9208984, -8.82641887665, 28.9871520996
         0.19, -0.0168144777417, 0.473378658295, 0.22896617651, -1732.90466309,  -501.6277771, 12069.8505859, -9.63140773773, 28.8086624146
        0.191, -0.0110053857788, 0.493432760239, 0.247393608093, -1851.50769043, -510.423339844, 11884.7910156, -10.6281709671, 28.3128032684
        0.192, -0.0051599801518, 0.509688973427, 0.267879068851, -1806.33349609, -512.671447754, 11683.7138672, -11.7721395493, 27.6563892365
