 keyword	Units	Component	Where	Description	Internal
IMP_INV_CAP_TC	Kinv	Powertrain	Dyn	Inverse capacity of torque converter	VARIABLE
IMP_LAT_OBJ_1	m	Targets	State	Lateral offset, object 1	VARIABLE
IMP_LAT_OBJ_2	m	Targets	State	Lateral offset, object 2	VARIABLE
IMP_MENGINE	N-m	Powertrain	Dyn	Engine torque applied to crankshaft from pistons. When used for an external engine the internal value is 0.	VARIABLE
IMP_MENGINE_ESC_REQUEST	N-m	Powertrain	Dyn	Engine torque requested by ESC/TCS. Only used with IMP_ESC_ENGINE_CON_STATE.	0
IMP_MENG_REACT	N-m	Powertrain	Dyn	Reaction torque from the input shaft of torque converter to the engine. When using an external torque converter the internal value is 0.	VARIABLE
IMP_MODE_TRANS	-	Powertrain	Ctl	Transmission controller mode : -1->reverse, 0->neutral, 1->open - loop gear selection, 2 - 18->closed - loop limit(maximum gear available)	VARIABLE
IMP_MSG_OBJ_1	-	Targets	State	Msg code of object 1	VARIABLE
IMP_MSG_OBJ_2	-	Targets	State	Msg code of object 2	VARIABLE
IMP_MUX_L1	-	Tires	Dyn	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_L2	-	Tires	Dyn	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R1	-	Tires	Dyn	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUX_R2	-	Tires	Dyn	Ground longitudinal friction at the tire CTC	VARIABLE
IMP_MUY_L1	-	Tires	Dyn	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_L2	-	Tires	Dyn	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R1	-	Tires	Dyn	Ground lateral friction at the tire CTC	VARIABLE
IMP_MUY_R2	-	Tires	Dyn	Ground lateral friction at the tire CTC	VARIABLE
IMP_MX0_L1	N-m	Tires	Dyn	Roll moment at wheel center from tire	VARIABLE
IMP_MX0_L2	N-m	Tires	Dyn	Roll moment at wheel center from tire	VARIABLE
IMP_MX0_R1	N-m	Tires	Dyn	Roll moment at wheel center from tire	VARIABLE
IMP_MX0_R2	N-m	Tires	Dyn	Roll moment at wheel center from tire	VARIABLE
IMP_MXEXL1	N-m	Suspensions	Dyn	User-defined [sx] moment at L1 from the sprung mass	0
IMP_MXEXL2	N-m	Suspensions	Dyn	User-defined [sx] moment at L2 from the sprung mass	0
IMP_MXEXR1	N-m	Suspensions	Dyn	User-defined [sx] moment at R1 from the sprung mass	0
IMP_MXEXR2	N-m	Suspensions	Dyn	User-defined [sx] moment at R2 from the sprung mass	0
IMP_MXGEXL1	N-m	Suspensions	Dyn	User-defined [nx] moment at L1 from the inertial reference N	0
IMP_MXGEXL2	N-m	Suspensions	Dyn	User-defined [nx] moment at L2 from the inertial reference N	0
IMP_MXGEXR1	N-m	Suspensions	Dyn	User-defined [nx] moment at R1 from the inertial reference N	0
IMP_MXGEXR2	N-m	Suspensions	Dyn	User-defined [nx] moment at R2 from the inertial reference N	0
IMP_MXGEXT	N-m	Sprung mass	Dyn	User-defined [nx] moment on sprung mass from inertial reference frame	0
IMP_MX_A1	N-m	Suspensions	Dyn	Auxiliary roll moment for axle 1	VARIABLE
IMP_MX_A2	N-m	Suspensions	Dyn	Auxiliary roll moment for axle 2	VARIABLE
IMP_MX_AERO	N-m	Aerodynamics	Dyn	X component of aero moment	VARIABLE
IMP_MX_EXT	N-m	Sprung mass	Dyn	User-defined [sx] moment on sprung mass from inertial reference frame	0
IMP_MX_L1	N-m	Tires	Dyn	Overturning moment at the tire CTC	VARIABLE
