Time,Ay,AVz
        1.925, 0.389817357063, 10.3663721085
         1.95, 0.439920723438, 12.3791780472
        1.975, 0.48802947998, 14.2805051804
            2, 0.534766674042, 15.9996538162
        2.025, 0.579855084419, 17.4817352295
         2.05, 0.618203520775, 18.7225399017
        2.075, 0.653103291988, 19.7235107422
          2.1, 0.682982027531, 20.4948177338
        2.125, 0.710192680359, 21.0403404236
         2.15, 0.730510056019, 21.3747577667
        2.175, 0.745822429657,  21.533367157
          2.2, 0.75486522913, 21.5293502808
        2.225, 0.758175134659, 21.3579025269
         2.25, 0.753895461559, 21.0083560944
        2.275, 0.734014153481, 20.4126319885
          2.3, 0.703057765961, 19.4946403503
        2.325, 0.674861967564,  18.236284256
         2.35, 0.651202142239, 16.7081928253
        2.375, 0.623553395271, 14.9384498596
          2.4, 0.589256465435, 12.8797292709
        2.425, 0.545827388763, 10.4914474487
         2.45, 0.49514311552, 7.69795799255
        2.475, 0.445780873299, 4.51123476028
          2.5, 0.393717736006, 0.959991455078
        2.525, 0.337923973799, -2.8709423542
         2.55, 0.27740046382, -6.86487960815
        2.575, 0.211246803403, -10.8767471313
          2.6, 0.138741090894, -14.7386007309
        2.625, 0.0637927278876, -18.3165950775
         2.65, -0.0228902529925, -21.4340667725
        2.675, -0.115334227681, -23.8924751282
          2.7, -0.21052351594, -25.598077774
        2.725, -0.308410018682, -26.4756183624
         2.75, -0.396211117506, -26.5306282043
        2.775, -0.465014010668, -25.9241790771
          2.8, -0.516423583031, -24.8795394897
        2.825, -0.553808808327, -23.5451107025
         2.85, -0.583854138851, -22.0441989899
        2.875, -0.607552051544, -20.4521484375
          2.9, -0.62616533041, -18.8236560822
        2.925, -0.641462385654, -17.2006988525
         2.95, -0.652994513512, -15.5980195999
        2.975, -0.660091221333, -14.0279874802
            3, -0.66135686636, -12.4961185455
        3.025, -0.655174314976, -10.9995002747
         3.05, -0.642428457737, -9.51970481873
        3.075, -0.627084732056, -8.03147602081
          3.1, -0.612023711205, -6.53140830994
        3.125, -0.598359167576, -5.03409385681
         3.15, -0.585269153118, -3.5723593235
        3.175, -0.573873698711, -2.19277381897
          3.2, -0.562906205654, -0.957642436028
        3.225, -0.552937090397, 0.0681888014078
         3.25, -0.545675754547, 0.813083410263
        3.275, -0.542180895805, 1.21741390228
          3.3, -0.538686990738,  1.2078152895
        3.325, -0.536222696304, 0.749986469746
         3.35, -0.535904288292, -0.140907987952
        3.375, -0.537192583084, -1.43083918095
          3.4, -0.541204631329, -3.05312800407
        3.425, -0.54819136858, -4.92494916916
         3.45, -0.558093905449, -6.95862627029
        3.475, -0.57134270668, -9.06008338928
          3.5, -0.587116777897, -11.1424226761
        3.525, -0.605190932751, -13.1349115372
         3.55, -0.625556945801, -14.9764385223
        3.575, -0.646164655685, -16.6235427856
          3.6, -0.667520284653, -18.0589523315
        3.625, -0.687485337257, -19.2701263428
         3.65, -0.7070774436, -20.2652721405
        3.675, -0.72567564249, -21.0430450439
          3.7, -0.733839392662, -21.5923957825
        3.725, -0.733282864094, -21.8732070923
         3.75, -0.734746217728, -21.8922157288
        3.775, -0.741723120213, -21.7417926788
          3.8, -0.751965880394, -21.5036468506
        3.825, -0.762040674686, -21.220035553
         3.85, -0.76512414217, -20.8715057373
        3.875, -0.756687521935, -20.3716392517
          3.9, -0.73376339674, -19.5951766968
        3.925, -0.699498534203, -18.4292259216
         3.95, -0.659708499908, -16.8277587891
        3.975, -0.612956285477, -14.7571687698
            4, -0.565914034843, -12.2425851822
        4.025, -0.519472360611, -9.35039615631
         4.05, -0.471860647202, -6.12662363052
        4.075, -0.418616145849, -2.59653687477
          4.1, -0.362976819277,  1.2184792757
        4.125, -0.306062012911, 5.26057195663
         4.15, -0.245575770736, 9.42740821838
        4.175, -0.178259968758, 13.5691728592
          4.2, -0.103317558765, 17.5126228333
        4.225, -0.0246633831412, 21.1134166718
         4.25, 0.0689600780606, 24.1481971741
        4.275, 0.166995003819, 26.4330387115
          4.3, 0.270054638386, 27.8764858246
        4.325, 0.372173458338, 28.4005699158
         4.35, 0.458074718714, 28.1048526764
        4.375, 0.518195271492, 27.2263565063
          4.4, 0.561520516872, 25.9729804993
        4.425, 0.59508150816, 24.5053920746
         4.45, 0.621739208698, 22.9142856598
        4.475, 0.641907155514,  21.269411087
          4.5, 0.658301115036,  19.618976593
        4.525, 0.671282351017, 17.9955234528
         4.55, 0.680902242661, 16.4140834808
        4.575, 0.685262143612, 14.8838920593
          4.6, 0.682572305202, 13.4042825699
        4.625,  0.6725435853, 11.9538116455
         4.65, 0.658572912216, 10.4877223969
        4.675, 0.644474804401, 8.97012042999
          4.7, 0.631458342075, 7.40268278122
        4.725, 0.620169341564, 5.80495071411
         4.75, 0.608438909054, 4.20553874969
        4.775, 0.595655083656, 2.63444232941
          4.8, 0.579438447952, 1.12346172333
        4.825, 0.559312105179, -0.296001672745
         4.85, 0.535166859627, -1.58869254589
        4.875, 0.506976366043, -2.71708130836
          4.9, 0.476488053799, -3.65926480293
        4.925, 0.440630823374, -4.37489891052
         4.95, 0.402630120516, -4.82307100296
        4.975, 0.363965332508, -4.99691009521
            5, 0.324461340904, -4.91014480591
        5.025, 0.286152899265, -4.56615114212
         5.05, 0.250563770533, -3.99458312988
        5.075, 0.218678370118, -3.23296451569
          5.1, 0.190916717052, -2.32592701912
        5.125, 0.167232707143, -1.31934905052
         5.15, 0.147446706891, -0.263814389706
        5.175, 0.131745919585, 0.791766881943
          5.2, 0.12004905194, 1.80284500122
        5.225, 0.111856929958, 2.73068618774
         5.25, 0.106450006366, 3.54011392593
        5.275, 0.10309856385, 4.20106744766
          5.3, 0.101337075233, 4.68904781342
        5.325, 0.100946210325, 4.99134635925
         5.35, 0.101324506104, 5.10612869263
        5.375, 0.102020509541, 5.04117870331
          5.4, 0.102664709091, 4.81113290787
