Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.078, -0.000683129532263, 0.194333031774, 0.137506708503, -96.4368743896, -171.512466431, 5094.72509766, -2.86467838287, 6.30147743225
        0.079, -0.000650718400721, 0.194301888347, 0.137431070209, -93.5237884521, -172.29460144, 5094.78320312, -2.85664772987, 6.33427143097
         0.08, -0.000634197436739, 0.19427126646, 0.137356445193, -90.5799560547, -173.060028076, 5094.84033203, -2.84876990318, 6.36632728577
        0.081, -0.000633500283584, 0.194241285324, 0.137282818556, -87.6739883423, -173.809234619, 5094.89550781, -2.84104061127, 6.39768695831
        0.082, -0.000648280838504, 0.194212034345, 0.137210160494, -84.871711731, -174.542755127, 5094.94921875, -2.83345627785, 6.42839241028
        0.083, -0.000677928503137, 0.194183632731, 0.137138485909, -82.2350616455, -175.261047363, 5095.00146484, -2.82601308823, 6.45848464966
        0.084, -0.000721587333828, 0.19415615499, 0.137067779899, -79.8211135864, -175.964599609, 5095.05224609, -2.81870675087, 6.48800373077
        0.085, -0.00077817926649, 0.194129690528, 0.136998027563, -77.6811981201, -176.653884888,  5095.1015625, -2.81153392792,  6.5169878006
        0.086, -0.000846430077218, 0.194104343653, 0.136929214001, -75.8601913452, -177.329330444, 5095.14990234, -2.80449128151, 6.54547262192
        0.087, -0.000924898660742, 0.194080159068, 0.136861339211, -74.395904541, -177.991378784, 5095.19726562, -2.79757499695,  6.5734910965
        0.088, -0.00101200770587, 0.194057226181, 0.136794373393, -73.3186264038, -178.640426636, 5095.24365234, -2.79078245163, 6.60107278824
        0.089, -0.00110607640818, 0.194035574794, 0.136728316545, -72.6508407593, -179.27684021, 5095.29052734, -2.78411006927, 6.62824392319
         0.09, -0.0012053536484, 0.194015264511, 0.136663153768, -72.4070510864, -179.901000977, 5095.33691406, -2.77755522728, 6.65502691269
        0.091, -0.0013080512872, 0.193996310234, 0.136598870158, -72.5938034058, -180.513214111, 5095.38427734, -2.77111554146, 6.68143939972
        0.092, -0.00141237757634, 0.193978726864, 0.136535435915, -73.2097854614, -181.11378479, 5095.43212891, -2.76478815079, 6.70749616623
        0.093, -0.00151656894013, 0.193962529302, 0.136472865939, -74.2461395264, -181.70300293, 5095.48193359, -2.75857138634,  6.7332072258
        0.094, -0.00161892047618, 0.193947687745, 0.136411130428, -75.6868133545, -182.281112671, 5095.53320312, -2.7524626255, 6.75857877731
        0.095, -0.00171781470999, 0.193934202194, 0.136350229383, -77.5091171265, -182.848342896, 5095.58691406, -2.74646067619, 6.78361368179
        0.096, -0.00181174767204, 0.193922013044, 0.136290132999, -79.6843338013, -183.404891968, 5095.64355469, -2.74056339264, 6.80831098557
        0.097, -0.00189935148228, 0.193911090493, 0.136230826378, -82.1783905029, -183.950942993,   5095.703125, -2.73476958275, 6.83266782761
        0.098, -0.00197941530496, 0.193901374936, 0.136172324419, -84.9526672363, -184.486663818, 5095.76660156, -2.72907757759, 6.85667705536
        0.099, -0.00205090106465, 0.193892806768, 0.136114597321, -87.9648208618, -185.012207031, 5095.83398438, -2.72348666191, 6.88033151627
          0.1, -0.00211295718327, 0.193885296583, 0.136057630181, -91.1696624756, -185.527679443, 5095.90576172, -2.7179954052, 6.90362119675
        0.101, -0.00216492637992, 0.193878799677, 0.136001437902, -94.5200500488, -186.033233643, 5095.98193359, -2.71260285378, 6.92653560638
        0.102, -0.00220635323785, 0.193873211741, 0.135945990682, -97.9677886963, -186.528961182, 5096.06347656, -2.70730829239, 6.94906377792
        0.103, -0.0022369842045, 0.19386844337, 0.135891288519, -101.464530945, -187.014984131, 5096.15039062, -2.70211052895, 6.97119426727
        0.104, -0.00225676596165, 0.193864420056, 0.135837331414, -104.962615967, -187.491378784, 5096.24267578, -2.69700908661, 6.99291563034
        0.105, -0.00226584076881, 0.193861037493, 0.135784104466, -108.41594696, -187.958236694, 5096.34033203, -2.69200277328, 7.01421833038
        0.106, -0.00226453621872, 0.193858221173, 0.135731592774, -111.780708313, -188.415664673, 5096.44384766, -2.68709135056, 7.03509235382
        0.107, -0.00225335475989, 0.193855896592, 0.13567982614, -115.016113281, -188.863769531, 5096.55273438, -2.68227338791, 7.05552959442
        0.108, -0.00223295832984, 0.19385394454, 0.135628774762, -118.084991455, -189.302642822, 5096.66796875, -2.67754864693, 7.07552433014
        0.109, -0.00220415205695, 0.193852335215, 0.135578453541, -120.954376221, -189.732376099, 5096.78857422, -2.6729156971, 7.09507036209
         0.11, -0.00216786400415, 0.193850964308, 0.135528847575, -123.595916748, -190.153091431, 5096.91503906,    -2.6683743, 7.11416530609
        0.111, -0.00212512607686, 0.193849787116, 0.135479956865, -125.98625946, -190.564910889,   5097.046875, -2.66392302513, 7.13280725479
