Time,Ay,Bk_Stat,GearStat,Pitch,Roll,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xo,Xpreview,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Ypreview,Y_L1,Y_L2,Y_R1,Y_R2,Zcg_SM,Zo,Z_L1,Z_L2,Z_R1,Z_R2
6.075, 0.01350376617503, 0, 6, 2.131453305638, -1.255047343591, -1.255916417134, -0.2698028037449, 0.3511012437115, -2.314571583871, -2.773507304774, 90.08253970825, 90.08340018008, 90.08048971916, 90.08059912398, 0.248938923379, 99.99931812588, 100, 100.0410391551, 233.0387021733, 249.3844432294, 233.4189532929, 231.3970427759, 232.6869531402, 230.6622436368, -29.70383562422, -29.50280716966, -29.93325557684, -29.80655454046, -29.4135863015, -133.5744391215, -142.8901717065, -132.9312573919, -131.775452084, -134.217118745, -133.0655614377, 41.02107391204, 40.6030943612, 40.91464204073, 40.98459083223, 40.94999336262, 41.01442884491
6.1, 0.01600289260661, 0, 6, 2.126507977107, -1.340369340168, -1.341293212388, -0.3592115775251, 0.2631212764436, -2.395434761691, -2.855963022085, 90.45343954402, 90.45422842093, 90.45148066611, 90.45150714903, 0.4475749324313, 99.99932069603, 100, 100.0410419031, 233.6420954865, 249.989030507, 234.0224391466, 232.0003979649, 233.2906719806, 231.2658206958, -29.69792186432, -29.48629281662, -29.92315842057, -29.78945273025, -29.40614685937, -133.9182643409, -143.2318274003, -133.274597521, -132.1190265986, -134.5605433491, -133.409212541, 41.00103145785, 40.58316384439, 40.89340338898, 40.96326578447, 40.93099874237, 40.99527570529
6.125, 0.01871373349909, 0, 6, 2.122381073496, -1.426339686073, -1.427319024105, -0.4484149746431, 0.17481375103, -2.477468193729, -2.939886799872, 90.82432869111, 90.82504508019, 90.82248263639, 90.82242309227, 0.6699369187064, 99.99921534855, 100, 100.040958502, 234.245545663, 250.5939228809, 234.6259698742, 232.6037693115, 233.8944737967, 231.869450764, -29.69052035633, -29.4671095084, -29.91170766532, -29.76977626118, -29.39687544469, -134.2619774343, -143.5729467442, -133.6178173421, -132.4625333123, -134.903862358, -133.7528119186, 40.98098322989, 40.56321206315, 40.87216639478, 40.94195500088, 40.91201529821, 40.97616522694
6.15, 0.02166651205923, 0, 6, 2.11929287253, -1.512624875762, -1.513660462772, -0.5369764425819, 0.08645032949357, -2.560405956976, -3.024964055612, 91.19520540791, 91.19584875423, 91.19349671348, 91.19334813916, 0.9176114388726, 99.99902937735, 100, 100.0408038855, 234.8490620504, 251.1991604607, 235.2295530497, 233.2071608035, 234.4983704735, 232.4731419729, -29.68144232112, -29.44497524487, -29.89873215861, -29.74725593399, -29.38556474381, -134.6055575479, -143.9134575707, -133.9608968756, -132.8059590326, -135.2470582004, -134.0963488007, 40.96092619181, 40.54323151876, 40.85093160498, 40.92066527723, 40.89303510317, 40.95709588444
6.175, 0.02488772775637, 0, 6, 2.117379434952, -1.598869231548, -1.599961916922, -0.6246006446516, -0.001802473788817, -2.643819233757, -3.110741277162, 91.56606787731, 91.56663783237, 91.56452412968, 91.56428347472, 1.1920210012, 99.99878216489, 100, 100.0405949209, 235.4526556774, 251.8047869132, 235.8331970448, 233.8105767304, 235.102374796, 233.0769030651, -29.67048296227, -29.41961090674, -29.88398265346, -29.72159940067, -29.37205259783, -134.9489825065, -144.2532815967, -134.3038143612, -133.1492893859, -135.5901121616, -134.4398115721, 40.94086040861, 40.52321948753, 40.82969768935, 40.8993999419, 40.87404878101, 40.93806251641
6.2, 0.02840369364872, 0, 6, 2.11669079233, -1.68471641357, -1.685867051641, -0.7111278727944, -0.08981093105334, -2.727154467496, -3.19673517485, 91.93691424225, 91.93741061235, 91.93556626408, 91.93523037971, 1.490341271304, 99.99848418108, 100, 100.0403479255, 236.0563391979, 252.4108494136, 236.4369110511, 234.4140218914, 235.7065004693, 233.6807436068, -29.65742180559, -29.39076100941, -29.86717108009, -29.69251604085, -29.35618501501, -135.2922287627, -144.5923343307, -134.6465461965, -133.4925087641, -135.933004212, -134.7831876318, 40.92078603248, 40.50317504647, 40.80845925939, 40.87815874307, 40.85504352469, 40.91905659531
6.225, 0.03221430203374, 0, 6, 2.117237819756, -1.769817146589, -1.771026568649, -0.7964644213373, -0.1774236072517, -2.809833890644, -3.282486124718, 92.30774269668, 92.30816537725, 92.30662453153, 92.30619026666, 1.809744842019, 99.99814173547, 100, 100.0400786819, 236.6601265204, 253.0173979169, 237.0407052393, 235.017501805, 236.3107620703, 234.2846741172, -29.64202699482, -29.35835485475, -29.84800216347, -29.65989033605, -29.33779390722, -135.6352712144, -144.9305261849, -134.9890670785, -133.8356001987, -136.2757127633, -135.1264631726, 40.90070123169, 40.48309606285, 40.78720794501, 40.8569388856, 40.836003055, 40.90006723976
6.25, 0.03632126864718, 0, 6, 2.119025841086, -1.853828065436, -1.855097078294, -0.8804889500887, -0.2644749889297, -2.891311037074, -3.367555361433, 92.67855148249, 92.67890045996, 92.67770044124, 92.67716462941, 2.149065482547, 99.99776247093, 100, 100.0398059446, 237.2640324816, 253.6244834695, 237.644590695, 235.6210229135, 236.915175178, 234.8887060655, -29.62406489682, -29.32229973737, -29.82618807754, -29.62359153672, -29.31670103893, -135.9780832266, -145.2677653414, -135.3313501885, -134.1785452328, -136.6182146722, -135.4696229279, 40.8806013094, 40.46297763867, 40.76593395526, 40.83573531456, 40.81690958401, 40.88108139142
6.275, 0.04073484933097, 0, 6, 2.12205465165, -1.936421712461, -1.937751100208, -0.9630293711224, -0.3508017871399, -2.971096256511, -3.451527891303, 93.04933893725, 93.04961428296, 93.0487955957, 93.04815499162, 2.507139960751, 99.99735369347, 100, 100.0395491582, 237.868072754, 254.2321569194, 238.2485794414, 236.2245926982, 237.5197563557, 235.4928518639, -29.60330740695, -29.28242076864, -29.80144816595, -29.58341764517, -29.29272729554, -136.3206367952, -145.603959961, -135.6733673422, -134.5213238169, -136.9604852751, -135.8126499783, 40.86047836891, 40.44281177832, 40.74462662881, 40.81453959147, 40.79774461903, 40.86208341
6.3, 0.04546065105135, 0, 6, 2.126299766774, -2.017286039222, -2.018676536623, -1.043874189531, -0.4362041129051, -3.048771016643, -3.53402302141, 93.42010356236, 93.42030540115, 93.41991161243, 93.41916287586, 2.882815573911, 99.99692170336, 100, 100.0393253183, 238.4722639515, 254.8404685089, 238.8526845599, 236.8282198115, 238.1245230735, 236.0971248684, -29.57953416897, -29.23857433758, -29.77352162428, -29.53920898009, -29.26569729341, -136.6629025898, -145.9390188036, -136.0150890284, -134.8639142485, -137.3024983096, -136.1555256328, 40.84032117249, 40.42258762502, 40.72327471247, 40.79334017466, 40.77848922663, 40.84305440576
