Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
        1.275, -0.490000009537,            -2,             0, -3765.42895508, 573.499511719,          4000, -13.9924488068, -7.14948225021, -2.3731739521
          1.3, -0.479999989271,            -2,             0, -3778.86987305, 585.290344238,          4000, -14.0610599518, -7.26223278046, -2.43083143234
        1.325, -0.469999998808,            -2,             0, -3792.42993164, 597.459716797,          4000, -14.1318740845, -7.37344884872, -2.49398088455
         1.35, -0.460000008345,            -2,             0, -3806.0925293, 610.025146484,          4000, -14.204993248, -7.48310661316, -2.56311488152
        1.375, -0.449999988079,            -2,             0, -3819.83789062, 623.005187988,          4000, -14.2805261612, -7.59118366241, -2.63877677917
          1.4, -0.439999997616,            -2,             0, -3833.64306641, 636.419494629,          4000, -14.3585853577, -7.69765615463, -2.72156786919
        1.425, -0.430000007153,            -2,             0, -3847.48071289,  650.28894043,          4000, -14.4392929077, -7.8025021553, -2.81215405464
         1.45, -0.419999986887,            -2,             0, -3861.31884766, 664.635437012,          4000, -14.5227766037, -7.90569925308, -2.9112739563
        1.475, -0.409999996424,            -2,             0, -3875.12060547, 679.482299805,          4000, -14.609172821, -8.0072259903, -3.01974892616
          1.5, -0.40000000596,            -2,             0, -3888.8425293, 694.854248047,          4000, -14.6986246109, -8.10706043243, -3.13849306107
        1.525, -0.389999985695,            -2,             0, -3902.43408203, 710.777282715,          4000, -14.7912836075, -8.2051820755, -3.26852703094
         1.55, -0.379999995232,            -2,             0, -3915.83691406, 727.279052734,          4000, -14.8873109818, -8.30156993866, -3.41099143028
        1.575, -0.370000004768,            -2,             0, -3928.9831543,  744.38861084,          4000, -14.9868755341, -8.39620399475, -3.5671646595
          1.6, -0.360000014305,            -2,             0, -3941.79370117, 762.136901855,          4000, -15.0901575089, -8.48906326294, -3.73848223686
        1.625, -0.34999999404,            -2,             0, -3954.17749023, 780.556274414,          4000,  -15.19734478, -8.58012866974, -3.92655992508
         1.65, -0.340000003576,            -2,             0, -3966.02880859, 799.680908203,          4000, -15.3086366653, -8.66938114166, -4.13322114944
        1.675, -0.330000013113,            -2,             0, -3977.22509766, 819.546813965,          4000, -15.4242420197, -8.75680160522, -4.36052703857
          1.7, -0.319999992847,            -2,             0, -3987.62451172,  840.19152832,          4000, -15.5443811417, -8.84237098694, -4.61081647873
        1.725, -0.310000002384,            -2,             0, -3997.06274414,  861.65447998,          4000, -15.6692829132, -8.92607307434, -4.88674736023
         1.75, -0.300000011921,            -2,             0, -4005.34960938,  883.97644043,          4000, -15.7991838455, -9.00788784027, -5.19134902954
        1.775, -0.289999991655,            -2,             0, -4012.2644043, 907.199707031,          4000, -15.9343299866, -9.08780002594, -5.52808427811
          1.8, -0.280000001192,            -2,             0, -4017.55200195, 931.367492676,          4000, -16.0749740601, -9.16579151154, -5.90092134476
        1.825, -0.270000010729,            -2,             0, -4020.91577148, 956.523803711,          4000, -16.221370697, -9.24184608459, -6.31441926956
         1.85, -0.259999990463,            -2,             0, -4022.01293945, 982.712646484,          4000, -16.3737792969, -9.31594753265, -6.77382850647
        1.875,         -0.25,            -2,             0, -4020.4453125, 1009.97723389,          4000, -16.5324478149, -9.38808059692, -7.28521108627
          1.9, -0.239999994636,            -2,             0, -4015.75097656, 1038.35888672,          4000, -16.6976203918, -9.45823001862, -7.85557985306
        1.925, -0.230000004172,            -2,             0, -4007.39526367, 1067.89562988,          4000, -16.8695144653, -9.52638053894,  -8.493060112
         1.95, -0.219999998808,            -2,             0, -3994.75756836, 1098.61987305,          4000, -17.0483207703, -9.59251785278, -9.20707607269
        1.975, -0.209999993443,            -2,             0, -3977.12011719, 1130.55615234,          4000, -17.2341842651, -9.6566286087, -10.008559227
            2, -0.20000000298,            -2,             0, -3953.65161133, 1163.71789551,          4000, -17.4271793365, -9.71869850159, -10.9101743698
        2.025, -0.189999997616,            -2,             0, -3923.39282227, 1198.10241699,          4000, -17.6272945404, -9.77871417999, -11.9265527725
