Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
        0.625,         -0.75,           -10,             0, -2978.06787109, 1277.76013184,          4000, -18.0916805267, -3.70899057388, 4.15565872192
         0.65, -0.740000009537,           -10,             0, -2974.99804688, 1293.64855957,          4000, -18.1841602325, -3.85056829453, 4.21448278427
        0.675, -0.730000019073,           -10,             0, -2971.69189453, 1309.84863281,          4000, -18.2784557343, -3.99135565758, 4.27382850647
          0.7, -0.72000002861,           -10,             0, -2968.13793945, 1326.36889648,          4000, -18.3746128082, -4.13132429123, 4.33369159698
        0.725, -0.709999978542,           -10,             0, -2964.32373047, 1343.21850586,          4000, -18.4726886749, -4.27044534683, 4.39406633377
         0.75, -0.699999988079,           -10,             0, -2960.23632812, 1360.40649414,          4000, -18.5727329254, -4.40868997574, 4.45494508743
        0.775, -0.689999997616,           -10,             0, -2955.86230469, 1377.94250488,          4000, -18.6748046875, -4.54603004456, 4.51631975174
          0.8, -0.680000007153,           -10,             0, -2951.18774414, 1395.83642578,          4000, -18.7789592743, -4.68243741989, 4.57817792892
        0.825, -0.670000016689,           -10,             0, -2946.19750977, 1414.09838867,          4000, -18.8852577209, -4.81788396835, 4.64050674438
         0.85, -0.660000026226,           -10,             0, -2940.87670898, 1432.73901367,          4000, -18.9937591553, -4.95234203339, 4.70328950882
        0.875, -0.649999976158,           -10,             0, -2935.20874023, 1451.76916504,          4000, -19.1045303345, -5.08578395844, 4.76650810242
          0.9, -0.639999985695,           -10,             0, -2929.17724609, 1471.20007324,          4000, -19.2176322937, -5.21818208694, 4.83013916016
        0.925, -0.629999995232,           -10,             0, -2922.76464844, 1491.04321289,          4000, -19.3331356049, -5.34950971603, 4.89415740967
         0.95, -0.620000004768,           -10,             0, -2915.95239258, 1511.31066895,          4000, -19.4511108398, -5.47974014282,  4.9585313797
        0.975, -0.610000014305,           -10,             0, -2908.72167969, 1532.01489258,          4000, -19.5716266632, -5.60884571075, 5.02322673798
            1, -0.600000023842,           -10,             0, -2901.05249023, 1553.16833496,          4000, -19.6947612762, -5.73680067062, 5.08820199966
        1.025, -0.589999973774,           -10,             0, -2892.92456055, 1574.78430176,          4000, -19.8205871582, -5.86357831955,  5.1534113884
         1.05, -0.579999983311,           -10,             0, -2884.31616211, 1596.87634277,          4000, -19.9491844177, -5.98915290833, 5.21880054474
        1.075, -0.569999992847,           -10,             0, -2875.20532227, 1619.45825195,          4000, -20.0806350708, -6.11349868774, 5.28430891037
          1.1, -0.560000002384,           -10,             0, -2865.56835938, 1642.54431152,          4000, -20.2150211334, -6.23659038544, 5.34986591339
        1.125, -0.550000011921,           -10,             0, -2855.38183594, 1666.14929199,          4000, -20.3524284363, -6.35840177536, 5.41539287567
         1.15, -0.540000021458,           -10,             0, -2844.62060547, 1690.28808594,          4000, -20.4929447174, -6.47890901566, 5.48079872131
        1.175, -0.52999997139,           -10,             0, -2833.25927734, 1714.97631836,          4000, -20.6366615295, -6.59808683395, 5.54598093033
          1.2, -0.519999980927,           -10,             0, -2821.27124023, 1740.22949219,          4000, -20.7836685181, -6.71591043472, 5.61082363129
        1.225, -0.509999990463,           -10,             0, -2808.62866211, 1766.06396484,          4000, -20.9340591431, -6.83235645294, 5.67519521713
