Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
          0.8, -0.680000007153,            -8,             0, -3149.98242188, 1218.57873535,          4000, -17.7471523285, -4.70743179321, 2.90994334221
        0.825, -0.670000016689,            -8,             0, -3149.38085938, 1235.79919434,          4000, -17.8473815918, -4.84347820282, 2.94509863853
         0.85, -0.660000026226,            -8,             0, -3148.55566406, 1253.40222168,          4000, -17.9498386383, -4.9785194397, 2.97968244553
        0.875, -0.649999976158,            -8,             0, -3147.49194336, 1271.40014648,          4000, -18.0545940399, -5.11252832413, 3.01362681389
          0.9, -0.639999985695,            -8,             0, -3146.17358398, 1289.80529785,          4000, -18.1617202759, -5.24547576904, 3.04685807228
        0.925, -0.629999995232,            -8,             0, -3144.58447266, 1308.63110352,          4000, -18.2712955475, -5.3773355484, 3.07929587364
         0.95, -0.620000004768,            -8,             0, -3142.70629883, 1327.89099121,          4000, -18.383398056, -5.50807952881, 3.11085295677
        0.975, -0.610000014305,            -8,             0, -3140.52050781, 1347.59924316,          4000, -18.4981098175, -5.63768100739, 3.14143419266
            1, -0.600000023842,            -8,             0, -3138.00708008, 1367.77050781,          4000, -18.6155166626, -5.76611280441, 3.17093610764
        1.025, -0.589999973774,            -8,             0, -3135.14477539, 1388.42016602,          4000, -18.735710144, -5.89334821701, 3.19924592972
         1.05, -0.579999983311,            -8,             0, -3131.91137695, 1409.56396484,          4000, -18.8587799072, -6.0193605423, 3.22624015808
        1.075, -0.569999992847,            -8,             0, -3128.28320312, 1431.21862793,          4000, -18.9848232269, -6.1441245079, 3.25178432465
          1.1, -0.560000002384,            -8,             0, -3124.23486328, 1453.40100098,          4000, -19.1139411926, -6.26761388779, 3.27573108673
        1.125, -0.550000011921,            -8,             0, -3119.73999023, 1476.12915039,          4000, -19.2462348938, -6.38980293274, 3.29791879654
         1.15, -0.540000021458,            -8,             0, -3114.77050781, 1499.42138672,          4000, -19.3818130493, -6.51066589355, 3.31817102432
        1.175, -0.52999997139,            -8,             0, -3109.29638672,   1523.296875,          4000, -19.5207881927, -6.63017845154, 3.33629322052
          1.2, -0.519999980927,            -8,             0, -3103.28662109,  1547.7755127,          4000, -19.663274765, -6.74831533432, 3.35207223892
