Time,AVz,Ay,Bk_Stat,FRackTot,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Mz_KP_L1,Mz_KP_L2,Mz_KP_R1,Mz_KP_R2,Mz_L1,Mz_L2,Mz_R1,Mz_R2,M_SW,Pitch,Pitch_A2,Roll,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_L1,Steer_R1,Steer_SW,Xo,X_A2,X_camR,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_CamR,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Y_A2,Y_camR,Y_L1,Y_L2,Y_R1,Y_R2,Zo,Z_A2,Z_camR,Z_L1,Z_L2,Z_R1,Z_R2
2.075, 0.02032267755584, 0.0003538046519779, 0, 0, 132.2926042023, 1.140031863414, -124.8394601285, 1.166043030303, 6593.601121083, 6918.861576582, 6116.512065227, 7080.376524625, 4, -96.48562933667, 0, 93.57049314122, 0, -5.999247542856, -0.051534913729, 5.679013865915, -0.05266383255674, -0.5401713394282, -0.2113606643672, -0.211361729155, 0.06105519778971, 0.01258131693258, 0.06105561322017, 0.3571475081368, 0.0125812313268, 0.07560258804509, 0.0125812313268, 20.9932110218, 20.99296570007, 20.99264726163, 20.99276564559, 0.1100796386945, -0.08497379127594, -1.171270280017, -254.2153881948, -257.2470811865, -254.7153881948, -254.2162888584, -257.2468333099, -254.2171463895, -257.2473290631, -0.02304196928926, 0, 0.08835660411208, -0.01814988412284, -0.1077375149891, -0.01814988412284, 0.01406219712311, 0.01481474667031, 0, 0.796224514497, 0.7973146885448, -0.768814056406, -0.7676851952042, -0.01532280189752, 0.3431071852375, 0, 0.3439643789211, 0.3432790096462, 0.3449858442114, 0.3429353608289
2.1, 0.0256167065223, 0.0003870409578859, 0, 0, 134.2616850984, 3.265845822005, -130.1972121905, 3.31054892231, 6589.114760066, 6923.088978072, 6499.744605011, 7077.510307649, 4, -96.67946457608, 0, 90.96197982853, 0, -6.088744842081, -0.1476327469273, 5.907739752022, -0.1495270031333, -0.6119207814155, -0.211797121457, -0.2117981453559, 0.06078058312682, 0.0120287550436, 0.06078099839853, 0.3579209523046, 0.01202867285923, 0.0765537872297, 0.01202867285923, 21.24432875518, 21.24407959632, 21.24376536512, 21.24388756533, 0.1028563772425, -0.09212227168319, -1.165004844786, -253.6677221584, -256.6994173129, -254.1677221584, -253.668624965, -256.6991788346, -253.6694805616, -256.6996557911, -0.02237964106749, 0, 0.08180115975241, -0.0174617215712, -0.1142196337773, -0.0174617215712, 0.01390213216923, 0.01462313395427, 0, 0.7960671652192, 0.7971230803702, -0.7689708809536, -0.7678768124616, -0.01530205013395, 0.3431057378796, 0, 0.343973895209, 0.3432700158861, 0.3441704489519, 0.342941459873
2.125, 0.03194131074436, 0.0008170612504417, 0, 0, 137.4739792149, 3.199408571586, -121.6773011334, 3.253514385183, 6591.758085028, 6918.116355315, 6219.216899865, 7080.592290469, 4, -96.66413195118, 0, 92.60736126434, 0, -6.234314417455, -0.1446311472839, 5.531129281287, -0.1469436713713, -0.5208897995542, -0.2116571698622, -0.2116582527011, 0.06166005342117, 0.01265617391767, 0.06166047414512, 0.3574819567571, 0.01265608756076, 0.0762871400269, 0.01265608756076, 21.49539415249, 21.49514959558, 21.49484580453, 21.49496556054, 0.1094624184019, -0.08543627764462, -1.16010949456, -253.1201556701, -256.151850588, -253.6201556701, -253.1210754223, -256.1516213132, -253.121897608, -256.1520798628, -0.02173323545491, 0, 0.08905120230252, -0.01678782987892, -0.1068883539304, -0.01678782987892, 0.01375687423998, 0.01443751147895, 0, 0.795916264247, 0.7969374587998, -0.7691229388013, -0.7680624358419, -0.01530798884796, 0.3431077483893, 0, 0.3439682876766, 0.3432805951246, 0.344767318017, 0.3429349016539
2.15, 0.02748181842355, 0.0007722445885952, 0, 0, 134.9443403194, 2.798671126605, -119.5645893337, 2.869769093258, 6593.994466317, 6914.967980012, 5979.456910351, 7083.190522522, 4, -96.57622165404, 0, 94.26008517204, 0, -6.119493919191, -0.1265164253047, 5.444317661513, -0.1296091410449, -0.4917934575967, -0.2115457280317, -0.2115468573033, 0.06246417650315, 0.01310380971245, 0.06246460226517, 0.3573065186505, 0.01310372039527, 0.07638708510691, 0.01310372039527, 21.74641816313, 21.7461765753, 21.74588339632, 21.74600143284, 0.1135935033699, -0.08132798823073, -1.156502813792, -252.5726826302, -255.604377055, -253.0726826302, -252.5736168081, -255.6041577532, -252.5744107803, -255.6045963568, -0.02104026471279, 0, 0.09387397535836, -0.01605759376518, -0.1020868414673, -0.01605759376518, 0.0136161727866, 0.01425413613344, 0, 0.7957705175937, 0.7967540849385, -0.7692696560791, -0.7682458126717, -0.01531239357605, 0.3431083330454, 0, 0.3439635360809, 0.3432872931924, 0.3452774443996, 0.3429293728985
2.175, 0.02700292502524, 0.000558674712439, 0, 0, 133.996273935, 4.6537232311, -128.1223095756, 4.74384068238, 6589.363286834, 6920.052122255, 6383.784221552, 7080.028142217, 4, -96.72492458072, 0, 91.64624136001, 0, -6.076699888436, -0.2103780087031, 5.817892367174, -0.2142642809142, -0.5929075404052, -0.2119881043342, -0.2119891848093, 0.06212139154152, 0.01246144158905, 0.06212181673985, 0.3582101346841, 0.01246135629476, 0.07750989782832, 0.01246135629476, 21.9974072366, 21.9971609513, 21.99687314708, 21.9969954189, 0.105024223649, -0.08987606490632, -1.153817332327, -252.0252976747, -255.0569940994, -252.5252976747, -252.0262338299, -255.0567858368, -252.027026166, -255.0572023621, -0.02025963240003, 0, 0.0860913203974, -0.01524929326037, -0.1098496116514, -0.01524929326037, 0.01347038847279, 0.01407075112045, 0, 0.7956279279515, 0.7965707048987, -0.7694115780655, -0.7684292026578, -0.01529108175956, 0.3431062894761, 0, 0.3439733555892, 0.3432764767273, 0.3444171652247, 0.3429361022248
2.2, 0.03476709413543, 0.0008933061661324, 0, 0, 137.8814063878, 5.576525117432, -124.8370647273, 5.675200274766, 6588.757894116, 6919.08184607, 6416.534840335, 7080.283770149, 4, -96.81607000211, 0, 91.22972823915, 0, -6.252928405674, -0.2520986285342, 5.667420026252, -0.2563303916815, -0.5622757035642, -0.2121004724482, -0.2121015657644, 0.06242505178644, 0.01255693431755, 0.0624254795163, 0.3582998022285, 0.01255684827849, 0.07772898216149, 0.01255684827849, 22.24834713114, 22.24810171097, 22.24782282619, 22.24794552975, 0.105421551379, -0.08938159162702, -1.152210858626, -251.4780097016, -254.5097070116, -251.9780097016, -251.4789577194, -254.5095095773, -251.4797274108, -254.5099044459, -0.01948794947173, 0, 0.08726137454596, -0.01445642388474, -0.1085824897353, -0.01445642388474, 0.0133356917327, 0.01389380934359, 0, 0.7954916772064, 0.7963937656442, -0.7695481709748, -0.768606146957, -0.01528523427464, 0.3431070496153, 0, 0.3439746402677, 0.3432785410198, 0.3443474813371, 0.3429355582108
2.225, 0.0338146973527, 0.001094143447188, 0, 0, 137.6022469907, 4.613850227834, -117.2124954704, 4.724493264643, 6593.058415242, 6913.036182216, 5995.030471745, 7084.534823843, 4, -96.69086512046, 0, 93.98598566378, 0, -6.240077132376, -0.2085792580801, 5.336550140702, -0.2133763384001, -0.4675300198238, -0.2118055798259, -0.2118067499982, 0.06353014779038, 0.01335900390288, 0.06353058188265, 0.3577417344073, 0.0133589126224, 0.07737972793029, 0.0133589126224, 22.49923879805, 22.49899904611, 22.49873334521, 22.49885249224, 0.1138963003773, -0.08089792049228, -1.151843158461, -250.9308195137, -253.9625156626, -251.4308195137, -250.931787544, -253.9623290421, -250.9325169726, -253.962702283, -0.01872934024015, 0, 0.09649094399365, -0.0136646195004, -0.09934183324241, -0.0136646195004, 0.0132142013388, 0.01372366766377, 0, 0.7953628724326, 0.7962236241408, -0.769678407078, -0.7687762888132, -0.01529828394513, 0.3431089576888, 0, 0.3439655113365, 0.3432914030472, 0.3452443011659, 0.3429265123303
2.25, 0.02861064514932, 0.000806143402349, 0, 0, 134.5224767081, 5.456565302686, -123.6117527403, 5.584379584076, 6590.884550914, 6915.798678751, 6179.431969354, 7083.266760726, 3, -96.72711069151, 0, 92.91262665748, 0, -6.100502568962, -0.2466783807556, 5.620700461658, -0.2522241341535, -0.5155114340015, -0.2120273105058, -0.2120284608886, 0.06355368669681, 0.01304504090171, 0.0635541218596, 0.3583585370182, 0.0130449515798, 0.07822535774402, 0.0130449515798, 22.75009617481, 22.74985398666, 22.74959639633, 22.7497178901, 0.1091284439912, -0.08569322013392, -1.152331402048, -250.3837177455, -253.4154147352, -250.8837177455, -250.3846921832, -253.4152399261, -250.3854101795, -253.4155895444, -0.01789712467965, 0, 0.09255891083588, -0.01279977791276, -0.1033015281461, -0.01279977791276, 0.01308921340493, 0.01355495671751, 0, 0.7952383800345, 0.7960549169103, -0.7698026906732, -0.7689450034752, -0.01528738133153, 0.3431073682992, 0, 0.3439701133492, 0.3432855258286, 0.3448519510004, 0.3429292107698
2.275, 0.03387669537494, 0.000888891464066, 0, 0, 136.9972642256, 7.164611561109, -127.2907493583, 7.300149120964, 6587.20063151, 6919.316427964, 6507.935481611, 7080.757900443, 3, -96.89443351173, 0, 90.64927090511, 0, -6.212907699176, -0.3239028306173, 5.775530455442, -0.3297378106773, -0.5180762562386, -0.2123709546882, -0.2123720683255, 0.06329461882895, 0.01257559432365, 0.06329505362384, 0.3590209734299, 0.01257550793682, 0.07899329106661, 0.01257550793682, 23.00091128349, 23.00066601183, 23.00041545578, 23.00054023252, 0.1030654159383, -0.09168209911528, -1.153568892269, -249.8367082987, -252.8684069813, -250.3367082987, -249.8376884499, -252.8682440994, -249.8383966197, -252.8685698632, -0.01704316186724, 0, 0.0873543719804, -0.01192644963414, -0.108433178371, -0.01192644963414, 0.01296764345634, 0.01339123516253, 0, 0.7951192241963, 0.7958911993623, -0.7699213255616, -0.7691087290373, -0.01527106799977, 0.3431062956417, 0, 0.3439779264249, 0.3432780418849, 0.3441530016802, 0.3429345493985
2.3, 0.03759601429559, 0.00125712474426, 0, 0, 139.344385477, 6.517943584723, -118.4072647984, 6.661332053986, 6590.833591942, 6913.850753278, 6155.402071535, 7084.317645042, 3, -96.82724753624, 0, 92.84771461322, 0, -6.319199284078, -0.2946687203479, 5.384816616835, -0.3008642365338, -0.3435133918225, -0.2121189238529, -0.2121201047007, 0.06421314264096, 0.01327863531368, 0.0642135826992, 0.3584817551589, 0.01327854431368, 0.07856795277153, 0.01327854431368, 23.25167452585, 23.25143457991, 23.25119708196, 23.25131877263, 0.1108514449611, -0.08384353520812, -1.155852518944, -249.2897983751, -252.3214961499, -249.7897983751, -249.2907984881, -252.3213445871, -249.2914664079, -252.3216477128, -0.01623845384537, 0, 0.09594164198001, -0.01109765101256, -0.099791765927, -0.01109765101256, 0.01286304025386, 0.01323710814443, 0, 0.7950084896534, 0.7957370724522, -0.7700332852741, -0.7692628561634, -0.01528255235313, 0.343108322277, 0, 0.3439702171429, 0.3432896700293, 0.3449030755731, 0.3429269745246
2.325, 0.03123538399969, 0.001095026019416, 0, 0, 136.1195947484, 6.110384568437, -118.748932106, 6.267238742297, 6592.265482529, 6912.487634699, 6008.249286527, 7085.882249038, 3, -96.74423948683, 0, 93.9613789978, 0, -6.172891641728, -0.276243737356, 5.406062627721, -0.2830625648444, -0.2648819761972, -0.2120419937417, -0.2120432019884, 0.0647434550168, 0.01350669219378, 0.06474389838755, 0.3584856785602, 0.01350659969799, 0.07877199954826, 0.01350659969799, 23.50239905342, 23.50216076073, 23.50193463172, 23.50205551346, 0.1127984767743, -0.08194033080787, -1.158997414152, -248.7429801235, -251.7746773567, -249.2429801235, -248.7439938197, -251.7745376031, -248.7446348962, -251.7748171103, -0.01540480701574, 0, 0.09872188433342, -0.01023296244447, -0.0970542503853, -0.01023296244447, 0.01276182402672, 0.01308760782015, 0, 0.7949039659455, 0.7955875735982, -0.770138395627, -0.7694123579578, -0.0152858961975, 0.3431081076116, 0, 0.3439671704794, 0.3432925699621, 0.3452161646227, 0.342923645261
2.35, 0.03122377606128, 0.0009045438159482, 0, 0, 135.8218793066, 7.827992904997, -127.0481236171, 7.992254343343, 6587.524117214, 6918.235344596, 6437.805277469, 7082.264049499, 3, -96.89857536349, 0, 91.16817785276, 0, -6.159604514102, -0.353902944205, 5.767118818554, -0.3610051975683, -0.2996641423398, -0.2124693243354, -0.2124704718747, 0.06421588215065, 0.01277712864405, 0.0642163236828, 0.3593789631153, 0.01277704079144, 0.07978227245221, 0.01277704079144, 23.75308798092, 23.75284478308, 23.75262500674, 23.75275027532, 0.1038071411605, -0.09090946405647, -1.162669885728, -248.1962500784, -251.2279491319, -248.6962500784, -248.1972664594, -251.2278216904, -248.1979040498, -251.2280765734, -0.0145208781577, 0, 0.09062034466501, -0.009331450432079, -0.1051351945454, -0.009331450432079, 0.01265768438714, 0.01294155305047, 0, 0.7948040661635, 0.7954415232159, -0.7702373821249, -0.769558417115, -0.01526597436876, 0.3431058431771, 0, 0.3439772246969, 0.343280341795, 0.3443022081695, 0.3429313445592
2.375, 0.03769344643682, 0.001248252300329, 0, 0, 139.5157507091, 8.097486163532, -122.0100000216, 8.264325011565, 6588.190652555, 6916.39446795, 6365.075556343, 7083.174198319, 3, -96.93947846892, 0, 91.47282067874, 0, -6.327110449896, -0.3660911627565, 5.540914227723, -0.3732879855551, -0.1923418755696, -0.2124632819258, -0.2124644511622, 0.06453878409018, 0.01299142165013, 0.06453922781729, 0.359220892999, 0.01299133232915, 0.07967154000603, 0.01299133232915, 24.00372673988, 24.00348568998, 24.00327662831, 24.00340125321, 0.1062572289201, -0.08837962959573, -1.167105834068, -247.6496176036, -250.6813168567, -248.1496176036, -247.6506487055, -250.6812009894, -247.6512572924, -250.681432724, -0.01368504700156, 0, 0.09390567468215, -0.008483968769169, -0.1017699281238, -0.008483968769169, 0.01256775685353, 0.01280533113452, 0, 0.7947121385555, 0.7953053024413, -0.7703297667524, -0.7696946401722, -0.01526632912438, 0.3431068330245, 0, 0.3439758125156, 0.3432842582651, 0.3444569530333, 0.342929407784
2.4, 0.03414239968524, 0.001325976483682, 0, 0, 138.145273915, 6.861718989555, -116.0665474421, 7.037262610812, 6592.296129183, 6911.444675287, 5972.218102495, 7086.824105193, 3, -96.79481769559, 0, 94.11939916885, 0, -6.264780668667, -0.3102190926786, 5.285295154183, -0.317843947838, -0.07409488210208, -0.2121766141792, -0.2121778483519, 0.06540522359937, 0.01366130087431, 0.0654056720709, 0.3586593043023, 0.01366120720089, 0.07925362557672, 0.01366120720089, 24.25431991732, 24.25408397032, 24.25388837083, 24.25400967067, 0.1137694284474, -0.08088800096985, -1.172404926899, -247.1030810795, -250.1347789632, -247.6030810795, -247.1041315858, -250.1346744364, -247.104701003, -250.13488349, -0.01287674831591, 0, 0.1022224009973, -0.007653602547703, -0.09347188674016, -0.007653602547703, 0.01248984427862, 0.01267756724393, 0, 0.7946283259293, 0.7951775380199, -0.7704147961114, -0.769822403532, -0.01527963392666, 0.3431082149487, 0, 0.3439670987518, 0.343294788805, 0.3452928226412, 0.3429216410924
2.425, 0.02892402671408, 0.0009932331146197, 0, 0, 135.2781708433, 7.731219702535, -123.9318745809, 7.913990566442, 6589.245623418, 6915.762594791, 6246.841100863, 7084.415519902, 3, -96.85147414536, 0, 92.45497375008, 0, -6.134893915275, -0.3495337889542, 5.632720121198, -0.3574661032503, -0.1350787890343, -0.2124687570438, -0.2124699482104, 0.06506839795195, 0.01313733544081, 0.0650688453434, 0.3593216169217, 0.01313724511194, 0.08005962720906, 0.01313724511194, 24.50488002132, 24.50464055581, 24.5044524776, 24.50457683255, 0.1071347773456, -0.08755386316079, -1.178168245893, -246.5566316734, -249.5883305831, -247.0566316734, -246.5576868611, -249.588238039, -246.5582484161, -249.5884231272, -0.01201618953005, 0, 0.09645250543248, -0.006776212598199, -0.09927385192749, -0.006776212598199, 0.01240815821838, 0.01255320202501, 0, 0.7945494147573, 0.7950531759833, -0.7704931053588, -0.7699467719333, -0.01526603727471, 0.3431061844759, 0, 0.3439735641491, 0.3432856024767, 0.3447085122067, 0.3429267664752
