Time,Station,VxTarget
         17.8, 25.7245121002, 28.6392612457
           18, 27.3379573822, 29.4941139221
         18.2, 29.0022449493, 30.3406200409
         18.4, 30.7091274261,  31.184885025
         18.6, 32.4665374756, 32.0406112671
         18.8,  34.268611908,  32.879699707
           19, 36.1184921265, 33.7381515503
         19.2, 38.0154838562, 34.5750923157
         19.4,  39.958694458, 35.4324226379
         19.6, 41.9500694275,  36.270160675
         19.8, 43.9872970581, 37.1263046265
           20, 46.0725593567, 37.9648742676
         20.2, 48.2086296082, 38.8202934265
         20.4, 50.3938941956, 39.6637954712
         20.6, 52.6222724915, 40.5150642395
         20.8, 54.8974723816, 41.3608398438
           21, 57.2199897766, 42.2086029053
         21.2, 59.5886154175, 43.0588226318
         21.4, 62.0047073364,  43.902923584
         21.6, 64.4672851562, 44.7535171509
         21.8, 66.9770736694, 45.5990600586
           22, 69.5338363647, 46.4456939697
         22.2, 72.1374359131,   47.29662323
         22.4, 74.7883071899,  48.140838623
         22.6, 77.4860458374, 48.9878692627
         22.8, 80.2307662964, 49.8378677368
           23, 83.0226898193, 50.6831626892
         23.2, 85.8615188599, 51.5295791626
         23.4, 88.7473449707, 52.3781242371
         23.6, 91.6803131104, 53.2262687683
         23.8, 94.6623840332, 54.0722694397
           24, 97.6929779053, 54.9202728271
         24.2, 100.767440796, 55.7685623169
         24.4, 103.889549255, 56.6172828674
         24.6, 107.058486938, 57.4630737305
         24.8, 110.273910522, 58.3096847534
           25, 113.535774231, 59.1568565369
         25.2, 116.844169617, 60.0044021606
         25.4, 120.199226379, 60.8521957397
         25.6, 123.601066589, 61.6985664368
         25.8, 127.049804688, 62.5445747375
           26, 130.545516968, 63.3909339905
         26.2, 134.088287354, 64.2375640869
         26.4, 137.678100586, 65.0843658447
         26.6, 141.314941406, 65.9312820435
         26.8, 144.998809814, 66.7782440186
           27, 148.729705811, 67.6252212524
         27.2, 152.507659912, 68.4721984863
         27.4, 156.332717896, 69.3191452026
         27.6, 160.204864502, 70.1660690308
         27.8, 164.124130249, 71.0129547119
           28, 168.090515137, 71.8597946167
         28.2, 172.104034424, 72.7066116333
         28.4,  176.16468811, 73.5533981323
         28.6, 180.272445679, 74.4001693726
         28.8, 184.427352905,  75.246925354
           29, 188.629379272, 76.0936965942
         29.2, 192.878570557, 76.9404907227
         29.4, 197.174926758, 77.7873382568
         29.6, 201.518463135, 78.6342468262
         29.8,  205.90914917, 79.4812316895
           30, 210.346694946, 79.9513702393
