Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
          0.9,             0,             0, -4.63999986649, -5.90875244141,  558.08380127,          6000, 143.367340088, -15.1442604065, 20.0064983368
        0.925,             0,             0, -4.63000011444, -5.90874576569, 557.029541016,          6000, 143.022674561, -15.1442651749, 19.9612884521
         0.95,             0,             0, -4.61999988556, -5.9087395668, 555.975341797,          6000, 142.678009033, -15.1442699432, 19.9160728455
        0.975,             0,             0, -4.61000013351, -5.90873289108, 554.921081543,          6000, 142.333343506, -15.1442747116, 19.8708496094
            1,             0,             0, -4.59999990463, -5.9087266922, 553.866821289,          6000, 141.988677979,  -15.14427948, 19.8256206512
        1.025,             0,             0, -4.59000015259, -5.90872001648, 552.812561035,          6000, 141.644012451, -15.1442842484, 19.7803821564
         1.05,             0,             0, -4.57999992371, -5.9087138176, 551.758361816,          6000, 141.299346924, -15.144288063, 19.7351379395
        1.075,             0,             0, -4.57000017166, -5.90870761871, 550.704101562,          6000, 140.954681396, -15.1442928314, 19.6898860931
          1.1,             0,             0, -4.55999994278, -5.90870094299, 549.649841309,          6000, 140.610015869, -15.1442975998, 19.6446285248
        1.125,             0,             0, -4.55000019073, -5.90869474411,  548.59564209,          6000, 140.265350342, -15.1443023682, 19.5993614197
         1.15,             0,             0, -4.53999996185, -5.90868854523, 547.541381836,          6000, 139.920684814, -15.1443071365, 19.5540885925
        1.175,             0,             0, -4.53000020981, -5.90868234634, 546.487121582,          6000, 139.576004028, -15.1443119049, 19.5088100433
          1.2,             0,             0, -4.51999998093, -5.90867614746, 545.432922363,          6000, 139.231338501, -15.1443157196, 19.4635219574
        1.225,             0,             0, -4.51000022888, -5.90866994858, 544.378662109,          6000, 138.886672974, -15.144320488, 19.4182281494
         1.25,             0,             0,          -4.5, -5.90866374969, 543.324462891,          6000, 138.541992188, -15.1443252563,  19.372926712
        1.275,             0,             0, -4.48999977112, -5.90865755081, 542.270202637,          6000,  138.19732666, -15.1443300247, 19.3276195526
          1.3,             0,             0, -4.48000001907, -5.90865135193, 541.215942383,          6000, 137.852661133, -15.1443338394, 19.2823047638
        1.325,             0,             0, -4.46999979019, -5.90864515305, 540.161743164,          6000, 137.507980347, -15.1443386078, 19.2369823456
         1.35,             0,             0, -4.46000003815, -5.90863895416,  539.10748291,          6000, 137.163314819, -15.1443433762, 19.1916542053
        1.375,             0,             0, -4.44999980927, -5.90863323212, 538.053283691,          6000, 136.818634033, -15.1443471909, 19.1463184357
          1.4,             0,             0, -4.44000005722, -5.90862703323, 536.999023438,          6000, 136.473968506, -15.1443519592, 19.1009750366
        1.425,             0,             0, -4.42999982834, -5.90862083435, 535.944824219,          6000,  136.12928772, -15.1443567276, 19.0556259155
         1.45,             0,             0, -4.42000007629, -5.9086151123, 534.890563965,          6000, 135.784622192, -15.1443605423,  19.010269165
        1.475,             0,             0, -4.40999984741, -5.90860891342, 533.836364746,          6000, 135.439941406, -15.1443653107, 18.9649047852
          1.5,             0,             0, -4.40000009537, -5.90860271454, 532.782104492,          6000, 135.095275879, -15.1443691254, 18.9195346832
        1.525,             0,             0, -4.38999986649, -5.90859699249, 531.727905273,          6000, 134.750595093, -15.1443738937, 18.8741569519
         1.55,             0,             0, -4.38000011444, -5.90859127045,  530.67364502,          6000, 134.405929565, -15.1443786621, 18.8287734985
        1.575,             0,             0, -4.36999988556, -5.90858507156, 529.619445801,          6000, 134.061248779, -15.1443824768, 18.7833824158
          1.6,             0,             0, -4.36000013351, -5.90857934952, 528.565185547,          6000, 133.716567993, -15.1443872452, 18.7379837036
        1.625,             0,             0, -4.34999990463, -5.90857315063, 527.510986328,          6000, 133.371902466, -15.1443910599, 18.6925792694
         1.65,             0,             0, -4.34000015259, -5.90856742859, 526.456726074,          6000,  133.02722168, -15.1443958282, 18.6471691132
        1.675,             0,             0, -4.32999992371, -5.90856170654, 525.402526855,          6000, 132.682540894, -15.1443996429, 18.6017494202
          1.7,             0,             0, -4.32000017166, -5.9085559845, 524.348327637,          6000, 132.337860107, -15.1444044113, 18.5563259125
        1.725,             0,             0, -4.30999994278, -5.90855026245, 523.294067383,          6000,  131.99319458, -15.144408226,  18.510892868
         1.75,             0,             0, -4.30000019073, -5.90854406357, 522.239868164,          6000, 131.648513794, -15.1444129944, 18.4654560089
        1.775,             0,             0, -4.28999996185, -5.90853834152,  521.18560791,          6000, 131.303833008, -15.1444168091,  18.420009613
          1.8,             0,             0, -4.28000020981, -5.90853261948, 520.131408691,          6000, 130.959152222, -15.1444206238, 18.3745594025
        1.825,             0,             0, -4.26999998093, -5.90852689743, 519.077148438,          6000, 130.614471436, -15.1444253922, 18.3290996552
         1.85,             0,             0, -4.26000022888, -5.90852117538, 518.022949219,          6000, 130.269790649, -15.1444292068, 18.2836341858
        1.875,             0,             0,         -4.25, -5.90851545334,     516.96875,          6000, 129.925109863, -15.1444330215, 18.2381629944
          1.9,             0,             0, -4.23999977112, -5.90851020813, 515.914489746,          6000, 129.580429077, -15.1444377899, 18.1926841736
        1.925,             0,             0, -4.23000001907, -5.90850448608, 514.860290527,          6000, 129.235748291, -15.1444416046, 18.1471996307
         1.95,             0,             0, -4.21999979019, -5.90849876404, 513.806091309,          6000, 128.891067505, -15.1444454193, 18.1017074585
        1.975,             0,             0, -4.21000003815, -5.90849304199, 512.751831055,          6000, 128.546386719, -15.1444501877, 18.0562095642
            2,             0,             0, -4.19999980927, -5.90848779678, 511.697631836,          6000, 128.201705933, -15.1444540024, 18.0107059479
        2.025,             0,             0, -4.19000005722, -5.90848207474,   510.6434021,          6000, 127.857032776, -15.1444578171, 17.9651927948
         2.05,             0,             0, -4.17999982834, -5.90847635269, 509.589172363,          6000,  127.51234436, -15.1444625854,  17.919675827
        2.075,             0,             0, -4.17000007629, -5.90847110748, 508.534973145,          6000, 127.167663574, -15.1444664001, 17.8741512299
          2.1,             0,             0, -4.15999984741, -5.90846538544, 507.480743408,          6000, 126.822982788, -15.1444702148, 17.8286209106
        2.125,             0,             0, -4.15000009537, -5.90846014023, 506.426513672,          6000, 126.478302002, -15.1444740295,  17.783082962
         2.15,             0,             0, -4.13999986649, -5.90845441818, 505.372314453,          6000, 126.133613586, -15.1444778442, 17.7375392914
        2.175,             0,             0, -4.13000011444, -5.90844917297, 504.318084717,          6000,   125.7889328, -15.1444826126, 17.6919879913
          2.2,             0,             0, -4.11999988556, -5.90844345093,  503.26385498,          6000, 125.444244385, -15.1444864273, 17.6464309692
        2.225,             0,             0, -4.11000013351, -5.90843820572, 502.209655762,          6000, 125.099563599, -15.144490242, 17.6008682251
         2.25,             0,             0, -4.09999990463, -5.90843296051, 501.155426025,          6000, 124.754875183, -15.1444940567, 17.5552978516
        2.275,             0,             0, -4.09000015259, -5.9084277153, 500.101196289,          6000, 124.410194397, -15.1444978714,  17.509721756
          2.3,             0,             0, -4.07999992371, -5.90842199326,  499.04699707,          6000, 124.065505981, -15.1445016861, 17.4641399384
        2.325,             0,             0, -4.07000017166, -5.90841674805, 497.992767334,          6000, 123.720817566, -15.1445055008, 17.4185504913
         2.35,             0,             0, -4.05999994278, -5.90841150284, 496.938568115,          6000,  123.37613678, -15.1445093155, 17.3729553223
        2.375,             0,             0, -4.05000019073, -5.90840625763, 495.884338379,          6000, 123.031448364, -15.1445131302, 17.3273525238
          2.4,             0,             0, -4.03999996185, -5.90840101242, 494.830108643,          6000, 122.686759949, -15.1445169449, 17.2817459106
        2.425,             0,             0, -4.03000020981, -5.90839576721, 493.775909424,          6000, 122.342071533, -15.1445207596, 17.2361316681
         2.45,             0,             0, -4.01999998093,  -5.908390522, 492.721679688,          6000, 121.997390747, -15.1445245743, 17.1905097961
        2.475,             0,             0, -4.01000022888, -5.90838527679, 491.667480469,          6000, 121.652702332, -15.144528389, 17.1448841095
          2.5,             0,             0,            -4, -5.90838003159, 490.613250732,          6000, 121.308013916, -15.1445322037, 17.0992507935
        2.525,             0,             0, -3.99000000954, -5.90837478638, 489.559051514,          6000,   120.9633255, -15.1445360184,  17.053609848
         2.55,             0,             0, -3.98000001907, -5.90836954117, 488.504821777,          6000, 120.618637085, -15.1445398331, 17.0079650879
        2.575,             0,             0, -3.97000002861, -5.9083647728, 487.450622559,          6000, 120.273948669, -15.1445436478, 16.9623126984
          2.6,             0,             0, -3.96000003815, -5.90835952759, 486.396392822,          6000, 119.929252625, -15.1445474625, 16.9166545868
        2.625,             0,             0, -3.95000004768, -5.90835428238, 485.342163086,          6000, 119.584564209, -15.1445512772, 16.8709888458
         2.65,             0,             0, -3.94000005722, -5.90834903717, 484.287963867,          6000, 119.239875793, -15.1445550919, 16.8253192902
        2.675,             0,             0, -3.93000006676, -5.9083442688, 483.233734131,          6000, 118.895187378, -15.1445589066, 16.7796421051
          2.7,             0,             0, -3.92000007629, -5.90833902359, 482.179534912,          6000, 118.550491333, -15.1445627213,  16.733959198
        2.725,             0,             0, -3.91000008583, -5.90833425522, 481.125305176,          6000, 118.205802917, -15.1445665359, 16.6882705688
         2.75,             0,             0, -3.90000009537, -5.90832901001, 480.071105957,          6000, 117.861114502, -15.1445703506, 16.6425743103
        2.775,             0,             0, -3.8900001049, -5.90832424164, 479.016876221,          6000, 117.516418457, -15.1445732117, 16.5968723297
          2.8,             0,             0, -3.88000011444, -5.90831899643, 477.962677002,          6000, 117.171730042, -15.1445770264, 16.5511646271
        2.825,             0,             0, -3.86999988556, -5.90831422806, 476.908447266,          6000, 116.827033997, -15.1445808411, 16.5054512024
         2.85,             0,             0, -3.8599998951, -5.90830945969, 475.854248047,          6000, 116.482345581, -15.1445846558, 16.4597320557
        2.875,             0,             0, -3.84999990463, -5.90830421448, 474.800018311,          6000, 116.137649536, -15.1445884705, 16.4140052795
          2.9,             0,             0, -3.83999991417, -5.90829944611, 473.745819092,          6000, 115.792961121, -15.1445913315, 16.3682746887
        2.925,             0,             0, -3.82999992371, -5.90829467773, 472.691589355,          6000, 115.448265076, -15.1445951462, 16.3225364685
         2.95,             0,             0, -3.81999993324, -5.90828990936, 471.637359619,          6000, 115.103569031, -15.1445989609, 16.2767925262
        2.975,             0,             0, -3.80999994278, -5.90828466415,   470.5831604,          6000, 114.758880615, -15.1446018219, 16.2310428619
            3,             0,             0, -3.79999995232, -5.90827989578, 469.528930664,          6000,  114.41418457, -15.1446056366, 16.1852874756
        3.025,             0,             0, -3.78999996185, -5.90827512741, 468.474731445,          6000, 114.069488525, -15.1446094513, 16.1395244598
         3.05,             0,             0, -3.77999997139, -5.90827035904, 467.420501709,          6000,  113.72479248, -15.144613266, 16.0937576294
        3.075,             0,             0, -3.76999998093, -5.90826559067,  466.36630249,          6000, 113.380096436, -15.144616127, 16.0479831696
          3.1,             0,             0, -3.75999999046, -5.9082608223, 465.312072754,          6000,  113.03540802, -15.1446199417, 16.0022029877
        3.125,             0,             0,         -3.75, -5.90825605392, 464.257873535,          6000, 112.690711975, -15.1446228027, 15.9564180374
         3.15,             0,             0, -3.74000000954, -5.90825128555, 463.203643799,          6000,  112.34601593, -15.1446266174, 15.9106264114
        3.175,             0,             0, -3.73000001907, -5.90824651718,  462.14944458,          6000, 112.001319885, -15.1446304321, 15.8648290634
          3.2,             0,             0, -3.72000002861, -5.90824222565, 461.095214844,          6000,  111.65662384, -15.1446332932, 15.8190259933
        3.225,             0,             0, -3.71000003815, -5.90823745728, 460.040985107,          6000, 111.311920166, -15.1446371078, 15.7732162476
         3.25,             0,             0, -3.70000004768, -5.9082326889, 458.986785889,          6000, 110.967224121, -15.1446399689, 15.7274017334
        3.275,             0,             0, -3.69000005722, -5.90822792053, 457.932556152,          6000, 110.622528076, -15.1446437836, 15.6815805435
          3.3,             0,             0, -3.68000006676,  -5.908223629, 456.878356934,          6000, 110.277832031, -15.1446475983, 15.6357545853
        3.325,             0,             0, -3.67000007629, -5.90821886063, 455.824127197,          6000, 109.933135986, -15.1446504593, 15.5899219513
         3.35,             0,             0, -3.66000008583, -5.90821409225, 454.769927979,          6000, 109.588432312, -15.144654274, 15.5440835953
        3.375,             0,             0, -3.65000009537, -5.90820980072, 453.715698242,          6000, 109.243736267, -15.144657135, 15.4982395172
          3.4,             0,             0, -3.6400001049, -5.90820503235, 452.661468506,          6000, 108.899040222, -15.1446609497, 15.4523897171
        3.425,             0,             0, -3.63000011444, -5.90820074081, 451.607269287,          6000, 108.554336548, -15.1446638107, 15.4065351486
         3.45,             0,             0, -3.61999988556, -5.90819597244, 450.553039551,          6000, 108.209640503, -15.1446676254, 15.3606739044
        3.475,             0,             0, -3.6099998951, -5.90819168091, 449.498840332,          6000, 107.864944458, -15.1446704865, 15.3148069382
          3.5,             0,             0, -3.59999990463, -5.90818691254, 448.444610596,          6000, 107.520240784, -15.1446733475, 15.2689342499
        3.525,             0,             0, -3.58999991417,  -5.908182621, 447.390380859,          6000, 107.175544739, -15.1446771622, 15.2230558395
         3.55,             0,             0, -3.57999992371, -5.90817832947, 446.336181641,          6000, 106.830841064, -15.1446800232, 15.1771717072
