Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,My_L1,Mz_L1
         25.3,             0, 0.119999997318,             0,  -5.905148983, -49.354434967,          6000, -15.5513277054, -15.1451997757, 4.24074172974
       25.325,             0, 0.129999995232,             0, -5.90477657318, -59.2260818481,          6000, -15.4653310776, -15.145198822, 4.71857881546
        25.35,             0, 0.140000000596,             0, -5.90437650681, -69.1004257202,          6000, -15.3793106079, -15.1451978683, 5.19629001617
       25.375,             0, 0.15000000596,             0, -5.90394878387, -78.9774246216,          6000, -15.2932672501, -15.145195961, 5.67386293411
         25.4,             0, 0.159999996424,             0, -5.90349292755, -88.8570404053,          6000, -15.207201004, -15.1451940536, 6.15128564835
       25.425,             0, 0.170000001788,             0, -5.90300893784, -98.7392425537,          6000, -15.1211128235,   -15.1451931, 6.62854623795
        25.45,             0, 0.180000007153,             0, -5.9024977684, -108.62399292,          6000, -15.0350017548, -15.1451911926, 7.10563230515
       25.475,             0, 0.189999997616,             0, -5.90195846558, -118.511245728,          6000, -14.9488687515, -15.1451892853, 7.58253240585
         25.5,             0, 0.20000000298,             0, -5.90139102936, -128.400970459,          6000, -14.8627147675, -15.1451873779, 8.05923366547
       25.525,             0, 0.209999993443,             0, -5.90079593658, -138.293121338,          6000, -14.7765388489, -15.1451854706, 8.53572559357
        25.55,             0, 0.219999998808,             0, -5.90017271042, -148.187667847,          6000, -14.6903429031, -15.1451835632, 9.01199436188
       25.575,             0, 0.230000004172,             0, -5.8995218277, -158.084564209,          6000, -14.6041259766, -15.1451816559, 9.48802852631
         25.6,             0, 0.239999994636,             0, -5.89884281158, -167.983795166,          6000, -14.5178890228, -15.1451787949, 9.96381664276
       25.625,             0,          0.25,             0, -5.89813566208, -177.885284424,          6000, -14.4316320419, -15.1451768875, 10.4393453598
        25.65,             0, 0.259999990463,             0, -5.89740085602, -187.789016724,          6000, -14.3453559875, -15.1451740265,  10.914604187
