Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.076, -0.00110528036021, 0.194402635098, 0.137659907341, -107.50188446, -169.903182983, 5094.49804688, -2.88106870651,  6.2353143692
        0.077, -0.00101694301702, 0.194372549653, 0.137582287192, -105.975639343, -170.723190308, 5094.56396484, -2.87270283699,   6.270175457
        0.078, -0.000939198536798, 0.194342628121, 0.13750565052, -104.130172729, -171.52520752, 5094.63037109, -2.86449933052, 6.30417013168
        0.079, -0.00087343523046, 0.194312915206, 0.137429967523, -102.022193909, -172.309707642, 5094.69677734, -2.85645413399, 6.33733272552
         0.08, -0.000820737448521, 0.194283545017, 0.137355238199, -99.7122344971, -173.077133179, 5094.76318359, -2.84856390953, 6.36969852448
        0.081, -0.000781862239819, 0.194254592061, 0.137281477451, -97.2632064819, -173.82800293, 5094.82910156, -2.84082460403, 6.40130472183
        0.082, -0.000757229921874, 0.194226130843, 0.137208670378, -94.7389221191, -174.562759399, 5094.89404297, -2.8332324028, 6.43218994141
        0.083, -0.000746928679291, 0.194198235869, 0.137136802077, -92.2026367188, -175.281906128, 5094.95800781, -2.82578372955, 6.46239233017
        0.084, -0.000750730570871, 0.194171011448, 0.137065887451, -89.7156524658, -175.985916138, 5095.02099609, -2.81847453117, 6.49195098877
        0.085, -0.000768117257394, 0.194144532084, 0.136995896697, -87.3360748291, -176.675231934, 5095.08300781, -2.81130170822, 6.52090406418
        0.086, -0.000798313529231, 0.194118887186, 0.136926844716, -85.1176528931, -177.350311279, 5095.14355469,  -2.804261446, 6.54928827286
        0.087, -0.000840325374156, 0.194094181061, 0.136858716607, -83.1088790894, -178.011611938, 5095.20361328, -2.79735016823, 6.57713890076
        0.088, -0.000892981712241, 0.194070503116, 0.136791497469, -81.3522491455, -178.659515381, 5095.26269531, -2.79056453705, 6.60448980331
        0.089, -0.00095497694565, 0.194047927856,  0.1367251724, -79.8837203979, -179.294464111, 5095.32080078, -2.78390192986, 6.63137102127
         0.09, -0.00102491397411, 0.194026529789, 0.136659756303, -78.7323608398, -179.916824341, 5095.37841797, -2.77735877037, 6.65781021118
        0.091, -0.00110134400893, 0.194006338716, 0.136595219374, -77.9202651978, -180.526947021, 5095.43603516, -2.77093243599, 6.68383216858
        0.092, -0.00118280388415, 0.193987369537, 0.136531576514, -77.4625396729, -181.125198364, 5095.49316406, -2.76462054253,  6.7094578743
        0.093, -0.00126784748863, 0.193969637156, 0.136468783021, -77.3675231934, -181.711868286, 5095.55078125, -2.75842022896, 6.73470592499
        0.094, -0.00135507027153, 0.193953171372, 0.136406853795, -77.6370925903, -182.287261963, 5095.60888672, -2.7523291111, 6.75959062576
        0.095, -0.00144312891643, 0.193937957287, 0.136345759034, -78.2671051025, -182.851638794, 5095.66796875, -2.74634552002, 6.78412389755
        0.096, -0.00153075368144, 0.193923994899, 0.136285513639, -79.2478408813, -183.405273438, 5095.72802734, -2.74046707153, 6.80831336975
        0.097, -0.0016167559661, 0.193911284208, 0.136226072907, -80.5645523071, -183.948394775, 5095.78955078, -2.73469185829, 6.83216619492
        0.098, -0.0017000332009, 0.193899810314, 0.13616746664, -82.1979827881, -184.481216431, 5095.85351562, -2.72901844978,  6.8556842804
        0.099, -0.00177957070991, 0.193889543414, 0.136109650135, -84.1249008179, -185.003921509, 5095.91992188, -2.72344517708, 6.87886953354
          0.1, -0.00185444357339, 0.193880438805, 0.136052638292, -86.3186187744, -185.516723633, 5095.98876953, -2.71797060966, 6.90172100067
        0.101, -0.00192381895613, 0.193872407079, 0.135996416211, -88.7495040894, -186.019775391, 5096.06103516, -2.71259355545, 6.92423582077
        0.102, -0.00198695762083, 0.193865433335, 0.13594096899, -91.3854751587, -186.51322937, 5096.13720703, -2.70731282234,  6.9464097023
        0.103, -0.00204321788624, 0.193859413266, 0.13588629663, -94.192489624, -186.997238159, 5096.21728516, -2.70212721825, 6.96823835373
        0.104, -0.00209205946885, 0.193854302168, 0.13583239913, -97.135055542, -187.471923828, 5096.30126953, -2.69703578949,  6.9897146225
        0.105, -0.00213304790668, 0.193850025535, 0.135779246688, -100.17666626, -187.937438965, 5096.39013672, -2.6920375824, 7.01083230972
        0.106, -0.00216586049646, 0.193846523762, 0.135726869106, -103.280342102, -188.393875122, 5096.48388672, -2.68713140488, 7.03158521652
        0.107, -0.0021902914159, 0.193843737245, 0.135675221682, -106.409080505, -188.841369629, 5096.58300781, -2.68231654167, 7.05196523666
        0.108, -0.00220625847578, 0.193841576576, 0.135624319315, -109.526390076, -189.279998779,     5096.6875, -2.67759251595, 7.07196569443
        0.109, -0.00221380754374, 0.193839982152, 0.135574162006, -112.596755981, -189.709884644, 5096.79785156, -2.67295789719, 7.09158086777
         0.11, -0.00221311766654, 0.193838864565, 0.135524734855, -115.586174011, -190.131134033, 5096.91357422, -2.66841244698, 7.11080408096
        0.111, -0.0022045026999, 0.193838149309, 0.13547603786, -118.462669373, -190.54385376, 5097.03466797, -2.66395497322, 7.12963008881
        0.112, -0.00218840898015, 0.193837761879, 0.135428071022, -121.196762085, -190.948120117, 5097.16210938, -2.65958452225,  7.1480550766
        0.113, -0.00216541136615, 0.19383764267, 0.135380834341, -123.761962891, -191.344055176, 5097.29492188, -2.65530061722, 7.16607522964
        0.114, -0.00213620322756, 0.193837732077, 0.135334327817, -126.135185242, -191.731750488, 5097.43359375, -2.65110230446, 7.18368959427
        0.115, -0.00210158340633, 0.193837985396, 0.135288536549, -128.297164917, -192.111343384,   5097.578125, -2.64698839188, 7.20089673996
        0.116, -0.0020624389872, 0.193838357925, 0.135243475437, -130.232696533, -192.482940674, 5097.72802734, -2.64295816422, 7.21769809723
        0.117, -0.00201972643845, 0.193838819861, 0.135199129581, -131.930923462, -192.846664429,  5097.8828125, -2.63901042938, 7.23409605026
        0.118, -0.00197445065714, 0.193839326501, 0.135155513883, -133.385437012, -193.202636719, 5098.04345703, -2.63514447212, 7.25009441376
        0.119, -0.00192764133681, 0.193839862943, 0.135112628341, -134.594329834, -193.551010132, 5098.20849609, -2.63135886192, 7.26569843292
         0.12, -0.00188033038285, 0.193840399384, 0.135070472956, -135.560119629, -193.891937256, 5098.37841797, -2.62765240669, 7.28091526031
        0.121, -0.001833529328, 0.193840920925, 0.135029032826, -136.289642334, -194.22555542, 5098.55273438, -2.62402439117, 7.29575300217
        0.122, -0.00178820698056, 0.193841427565, 0.134988337755, -136.793701172, -194.552017212, 5098.73144531, -2.62047314644,  7.3102221489
        0.123, -0.00174526975024, 0.193841949105, 0.134948387742, -137.086868286, -194.871520996,  5098.9140625, -2.61699748039, 7.32433319092
        0.124, -0.00170554313809, 0.193842470646, 0.134909167886, -137.187011719, -195.184204102, 5099.10058594, -2.61359643936, 7.33809900284
        0.125, -0.00166975695174, 0.193843051791, 0.134870693088, -137.114837646, -195.490280151, 5099.29052734,  -2.610268116, 7.35153198242
        0.126, -0.00163853447884, 0.193843692541, 0.134832963347, -136.893371582, -195.789901733, 5099.48339844, -2.60701155663, 7.36464691162
        0.127, -0.00161238433793, 0.193844437599, 0.134795993567, -136.547454834, -196.083282471,  5099.6796875, -2.60382556915, 7.37745857239
        0.128, -0.00159169675317, 0.193845316768, 0.134759783745, -136.103164673, -196.370574951, 5099.87890625, -2.60070824623, 7.38998222351
        0.129, -0.00157674343791, 0.193846359849, 0.134724318981, -135.587265015, -196.651992798, 5100.08105469, -2.59765863419, 7.40223312378
         0.13, -0.00156767957378, 0.193847611547, 0.134689629078, -135.026733398, -196.927734375, 5100.28515625, -2.59467530251, 7.41422748566
        0.131, -0.00156454904936, 0.193849086761, 0.134655714035, -134.448150635, -197.197952271,  5100.4921875, -2.59175682068, 7.42598104477
        0.132, -0.00156729097944, 0.193850845098, 0.134622558951, -133.877365112, -197.462844849, 5100.70117188, -2.58890175819, 7.43750905991
        0.133, -0.00157574785408, 0.193852931261, 0.134590178728, -133.338989258, -197.722610474, 5100.91259766, -2.58610916138, 7.44882678986
        0.134, -0.00158967473544, 0.193855389953, 0.134558573365, -132.856079102, -197.977386475, 5101.12597656, -2.58337759972,  7.4599480629
        0.135, -0.00160874880385, 0.193858221173, 0.134527757764, -132.449798584, -198.227355957, 5101.34130859, -2.58070611954, 7.47088718414
