Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.025, -0.000637068937067, 0.197693035007, 0.143997743726, -58.1054267883, -80.2009124756, 5093.13818359, -3.72411870956, 2.29280757904
        0.026, -0.000626653316431, 0.197635024786, 0.143883571029, -56.7192077637, -81.9309463501, 5093.17480469, -3.70771956444, 2.36722016335
        0.027, -0.000620566657744, 0.197585821152, 0.143771097064, -55.4357185364, -83.6369247437, 5093.20947266, -3.69154977798, 2.44051790237
        0.028, -0.000619555823505, 0.197543129325, 0.143659770489, -54.3024940491, -85.3281478882, 5093.24267578, -3.67552471161, 2.51305222511
        0.029, -0.000624151085503, 0.197504535317, 0.14354903996, -53.3667793274, -87.0134963989,  5093.2734375, -3.6595621109, 2.58515763283
         0.03, -0.000634576426819, 0.197467714548, 0.143438398838, -52.6722183228, -88.7008590698, 5093.30224609, -3.64358901978, 2.65713000298
        0.031, -0.000650701811537, 0.197430476546, 0.143327385187, -52.2553749084, -90.3965988159, 5093.32861328, -3.62754464149, 2.72920942307
        0.032, -0.000672040216159, 0.197390913963, 0.143215641379, -52.1426048279,  -92.10521698, 5093.35302734, -3.61138486862, 2.80156588554
        0.033, -0.000697793322615, 0.19734749198, 0.143102899194, -52.3409919739, -93.8282394409, 5093.37548828, -3.59509181976, 2.87426114082
        0.034, -0.000726941623725, 0.197299286723, 0.142989069223, -52.851020813, -95.566116333, 5093.39599609, -3.5786588192, 2.94731640816
        0.035, -0.000758270558435, 0.19724586606, 0.142874091864, -53.6602973938, -97.3174667358, 5093.41552734, -3.56209540367, 3.02068686485
        0.036, -0.000790469348431, 0.197187259793, 0.14275804162, -54.7427444458, -99.0790786743, 5093.43310547, -3.54542779922, 3.09426093102
        0.037, -0.000822218833491, 0.197123900056, 0.142641112208, -56.0600471497, -100.846084595, 5093.45019531, -3.52869796753, 3.16786837578
        0.038, -0.000852277851664, 0.197056442499, 0.14252358675, -57.5636940002, -102.612281799, 5093.46630859, -3.51196026802, 3.24128961563
        0.039, -0.000879562750924, 0.196985691786, 0.142405837774, -59.1977348328, -104.370437622, 5093.48144531, -3.49527931213,  3.3142683506
         0.04, -0.000903216423467, 0.196912452579, 0.142288282514, -60.9020690918, -106.112762451, 5093.49658203, -3.47872447968, 3.38652729988
