Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
5.175, -0.6819098183773, -0.6748317667752, -0.5777839000043, -0.7239108672942, 3.077212828716, 0.1870007850267, 0, 229.8466122542, -19.43051412472, 216.9059604135, -21.735083491, 808.4710791856, 438.0727564825, 826.9772377141, 667.3354244009, 4072.08931131, 2229.05731987, 4975.105240627, 3164.847817122, 6, 0, -0.2049031839701, 0.03186766235737, -0, -0, -0, -0, -0, 1.467423022353, 0, 0, 0, 0, 0, 1.467423249379, 1.147316292814, 1.056801530372, 1.262777996823, 0.8698685744465, 84.8293725197, 84.32498072068, 84.88325941998, 84.33036704726, 172.0339435297, 0.4649630777138, 0.3592764556807, 6.679892752392, 1, 120.2287492623, 120, 120.2290654453, 172.0283635007, 169.1189602943, 172.0395810616, 169.1304831434, 172.0339435297, 172.028453301, 169.1190162744, 188.7324248415, 172.0396660236, 169.1305330149, 0.3416307734116, 0, 0.8060416543648, 0.5339768081066, 0.7002897866179, 0.5841906630513, 0.6311034213153, 0.6129196579565, -1.043120947066, -1.062581002854, -0.2049031839701, 0.6247205730729, 0.6069131521557, 0, -1.050071962792, -1.067472085202, -0, -0, -0, -0, -0.005588537397716, 0.3187417219352, 0.3256272239671, 0, 0.315359566732, 0.3221537353318
5.2, -0.6164197635053, -0.6448540930419, -0.5163285517177, -0.6940925130535, 2.777754924179, 0.1731918903674, 0, 225.5215385835, -20.08911357722, 215.1113587095, -20.92513456448, 739.2997563496, 426.0787319892, 736.2708558008, 636.311977785, 4109.094699278, 2260.695066105, 4937.992564539, 3133.358414273, 6, 0, -0.2026744386694, 0.02912911574476, -0, -0, -0, -0, -0, 1.396351856406, 0, 0, 0, 0, 0, 1.396352036899, 1.090316156464, 1.006447475851, 1.205557168059, 0.8259267108928, 85.23867402628, 84.73315870431, 85.29332616982, 84.73957848953, 172.8688653133, 0.3928938823407, 0.2913658330215, 5.185120395982, 1, 120.2246942028, 120, 120.2249576327, 172.8623108844, 169.9528207392, 172.8754797312, 169.9664054265, 172.8688653133, 172.8623963184, 169.9528803218, 189.5667760957, 172.8755615058, 169.9664578989, 0.4148789331817, 0, 0.8072840092794, 0.5969894615753, 0.7056946927468, 0.6471238394878, 0.6333974847122, 0.6115447903615, -1.040841120443, -1.063944958362, -0.2026744386694, 0.6273343342667, 0.6058265855024, 0, -1.047480114881, -1.068590621478, -0, -5.551115123126e-17, -0, -0, -0.005388818595186, 0.3186098599398, 0.3255143441461, 0, 0.3155048013865, 0.322274877467
5.225, -0.5546378479106, -0.610227771804, -0.4581384943385, -0.6596924757286, 2.434909030765, 0.1595819352272, 0, 221.4721024324, -20.60158887239, 213.5140435007, -20.25328954452, 673.5623815197, 410.4607933992, 652.1699184844, 601.8900897952, 4144.687187069, 2291.736052431, 4902.338845666, 3102.39499362, 6, 0, -0.1995229733852, 0.02633947957784, -0, -0, -0, -0, -0, 1.326287469741, 0, 0, 0, 0, 0, 1.326287609911, 1.033927221327, 0.9569089421272, 1.149193701047, 0.7822291183676, 85.64799463888, 85.14138133381, 85.7033257767, 85.14872596581, 173.7037588544, 0.325551033957, 0.2277242769147, 3.780855899496, 1, 120.2205674405, 120, 120.2207807114, 173.6963396044, 170.7867726364, 173.7112359435, 170.8021859284, 173.7037588544, 173.6964203765, 170.7868344906, 190.4010895087, 173.7113141063, 170.8022398726, 0.4800644669859, 0, 0.8051889396742, 0.6520642100078, 0.7073051209047, 0.7021883488584, 0.636611760078, 0.6114997400298, -1.037638121845, -1.063979452673, -0.1995229733852, 0.6308645417306, 0.6060649562835, 0, -1.043969431492, -1.068380869148, -0, -0, -0, -0, -0.005192888199323, 0.3184828872483, 0.3254033583419, 0, 0.3156441896915, 0.3223938514432
5.25, -0.496050456332, -0.5709230002776, -0.4027277372053, -0.6206516872599, 2.063043797401, 0.1459408230067, 0, 217.7655359689, -20.98253034687, 212.1244427597, -19.7058790376, 610.3695822278, 391.0658675549, 572.5084578986, 563.9395515455, 4179.19462907, 2322.420702556, 4867.920249181, 3071.657814552, 6, 0, -0.1955483781891, 0.02353122793795, -0, -0, -0, -0, -0, 1.257282801548, 0, 0, 0, 0, 0, 1.2572829076, 0.9781471891473, 0.9081666366082, 1.093667833196, 0.7388085448488, 86.05734129595, 85.54965585362, 86.11325181736, 85.55780211943, 174.538622771, 0.2637135386498, 0.1691553080979, 2.490056967436, 1, 120.2163817607, 120, 120.2165483984, 174.5304606351, 171.6208261373, 174.5468364154, 171.6378083958, 174.538622771, 174.5305364922, 171.6208889839, 191.2353656041, 174.5469105921, 171.6378627247, 0.5362865462138, 0, 0.7996336436101, 0.6983295056427, 0.7050227762621, 0.7484917424216, 0.6406467809014, 0.6127307729759, -1.033612436245, -1.062738965605, -0.1955483781891, 0.6352117825612, 0.6075746620114, 0, -1.039640326645, -1.066897515019, -0, -0, -0, -5.551115123126e-17, -0.005001353783207, 0.3183595917004, 0.3252933837557, 0, 0.3157785818693, 0.3225117760825
5.275, -0.4406666844207, -0.5271959752425, -0.3501438713229, -0.5772078926358, 1.674492495569, 0.1321680226928, 0, 214.429983004, -21.25477921209, 210.956625159, -19.26348983208, 549.7161225666, 367.9826612897, 495.5814822031, 522.626234103, 4213.170030835, 2353.198446201, 4834.161903233, 3040.700373416, 6, 0, -0.1908455993011, 0.02072836605272, -0, -0, -0, -0, -0, 1.189243349731, 0, 0, 0, 0, 0, 1.189243427568, 0.9228416620411, 0.8601021149756, 1.038816819431, 0.6955951842972, 86.46671863175, 85.95798695757, 86.52310053168, 85.96680202156, 175.3734559754, 0.2082120483743, 0.1165252396758, 1.329210290482, 1, 120.2121533268, 120, 120.2122771905, 175.3646802724, 172.4549869477, 175.3822730971, 172.4732618165, 175.3734559754, 175.3647510294, 172.455049591, 192.0696055852, 175.3823429947, 172.4733155135, 0.5829785331779, 0, 0.7908814585657, 0.7352275113563, 0.6991466703354, 0.7854620920554, 0.6454077816915, 0.6151720642481, -1.02885981164, -1.060290016271, -0.1908455993011, 0.6402820875599, 0.6102905813686, 0, -1.034587708377, -1.064206710313, 5.551115123126e-17, 5.551115123126e-17, 5.551115123126e-17, -0, -0.004814716051672, 0.3182379326596, 0.32518276561, 0, 0.3159101515619, 0.3226303253904
5.3, -0.3883644628379, -0.4794834281554, -0.3003087560341, -0.5297851286274, 1.281735289052, 0.1183814447934, 0, 211.4268023718, -21.41781124035, 209.9321399802, -18.92793276297, 490.779823757, 341.420649153, 423.3694574679, 478.3294716916, 4247.149821706, 2384.495160129, 4800.427708782, 3009.140677767, 6, 0, -0.1855053970398, 0.01794580827053, -0, -0, -0, -0, -0, 1.12198667794, 0, 0, 0, 0, 0, 1.121986732982, 0.8678215334017, 0.8125543600886, 0.9844169219836, 0.6524708290091, 86.87612914152, 86.36637708491, 86.9328700358, 86.37572291118, 176.2082576649, 0.1595632161488, 0.07039737410241, 0.3088909842932, 1, 120.2078910597, 120, 120.2079761803, 176.1990010441, 173.2892568581, 176.2175422795, 173.3085401135, 176.2082576649, 176.1990665729, 173.2893182106, 192.9038099121, 176.2176076746, 173.3085922548, 0.6198793468692, 0, 0.7791874695509, 0.7624859875319, 0.6899785500673, 0.8128201075185, 0.6508042586054, 0.6187466446754, -1.023471457704, -1.056710174539, -0.1855053970398, 0.6459860426403, 0.6141366835855, 0, -1.028901603972, -1.060385375121, 5.551115123126e-17, -0, -0, -5.551115123126e-17, -0.004633338574911, 0.3181159327903, 0.3250699379014, 0, 0.3160413032493, 0.3227509346517
5.325, -0.3390415015838, -0.4283966124392, -0.2531586405304, -0.4789855162764, 0.8957561557072, 0.1045914478756, 0, 208.7236930322, -21.48610846026, 208.9963891736, -18.6843279278, 433.1873989446, 311.5607665432, 355.6245628158, 431.6382571961, 4281.373681343, 2416.39860013, 4766.436925693, 2976.95019799, 6, 0, -0.1796129979438, 0.01519256336966, -0, -0, -0, -0, -0, 1.055359287914, 0, 0, 0, 0, 0, 1.05535932502, 0.8129488746808, 0.7654171053653, 0.9302992652609, 0.6093712603046, 87.28557316792, 86.7748264522, 87.34256011262, 86.784564145, 177.0430272064, 0.1179906909402, 0.03104008864343, -0.5661692825009, 1, 120.203593515, 120, 120.20364406, 177.0334216901, 174.1236338518, 177.0526443818, 174.143642053, 177.0430272064, 177.0334819191, 174.1236929601, 193.7379777703, 177.0527051179, 174.1436918324, 0.6470251652327, 0, 0.7648111050775, 0.7801181458753, 0.6778225729463, 0.8305762345223, 0.6567512886362, 0.6233680327183, -1.017532960657, -1.052086344782, -0.1796129979438, 0.6522395054348, 0.6190270927045, 0, -1.022666687385, -1.055520048102, -0, -5.551115123126e-17, -0, -0, -0.004457476914342, 0.3179927136593, 0.3249545887794, 0, 0.3161731061492, 0.3228737151466
5.35, -0.2924748717663, -0.3748033695421, -0.208503172249, -0.4256577267552, 0.527997373283, 0.09086204356951, 0, 206.3280050626, -21.45098839003, 208.1257659122, -18.54334725893, 378.2316682576, 277.4660467593, 292.1372238727, 383.3337683435, 4315.716821039, 2448.793567766, 4732.271221752, 2944.365418447, 6, 0, -0.1732479399201, 0.0124773265494, -0, -0, -0, -0, -0, 0.9892871719526, 0, 0, 0, 0, 0, 0.9892871954129, 0.7581826606048, 0.7186189783606, 0.8763945534798, 0.5663114987934, 87.69504909892, 87.18333319358, 87.75217209992, 87.1933269966, 177.877764026, 0.08339978336393, -0.001601360015283, -1.296673091727, 1, 120.1992527136, 120, 120.199273242, 177.8679374409, 174.9581123921, 177.8875834965, 174.9785709291, 177.877764026, 177.8679923536, 174.958168456, 194.5721075318, 177.8876394795, 174.9786176788, 0.6647267260656, 0, 0.747968015699, 0.7884164641755, 0.6629343140626, 0.8390171789326, 0.6631697106968, 0.6289410717087, -1.01112402829, -1.046513555394, -0.1732479399201, 0.6589635352104, 0.6248670493409, 0, -1.015962277787, -1.049705827237, -0, -0, -0, 5.551115123126e-17, -0.004287368702958, 0.317868746543, 0.3248371590754, 0, 0.3163052655013, 0.3229977838435
5.375, -0.2484891916386, -0.3197910049697, -0.1661880496645, -0.3708876945844, 0.1890906862384, 0.07725266664029, 0, 204.2462947334, -21.32420701126, 207.3140848723, -18.49705899876, 325.7480198199, 241.0735777955, 232.7504020278, 332.6482105919, 4349.830315454, 2481.359071238, 4698.292136473, 2911.736542729, 6, 0, -0.1664833166166, 0.009811547633626, -0, -0, -0, -0, -0, 0.9237944199193, 0, 0, 0, 0, 0, 0.9237944334653, 0.7035825058943, 0.6722527650668, 0.8227417545619, 0.5233353394239, 88.10455338216, 87.59189329686, 88.16170866994, 87.60201469329, 178.7124675456, 0.05545410722987, -0.02783223229308, -1.888937506968, 1, 120.1948585201, 120, 120.1948536132, 178.7025397486, 175.7926832605, 178.7223675308, 175.813334686, 178.7124675456, 178.702589389, 175.7927356578, 195.4061972141, 178.7224187331, 175.813377889, 0.6735764588604, 0, 0.7289138483388, 0.7879652234499, 0.6456005006069, 0.8387201994405, 0.6699866538829, 0.6353631050028, -1.00431775572, -1.040094987192, -0.1664833166166, 0.6660849144502, 0.6315533564128, 0, -1.008861665151, -1.043046123557, -0, -0, -0, -0, -0.004123263230914, 0.3177453312769, 0.3247188451891, 0, 0.3164364323074, 0.3231218321411
5.4, -0.2060272136755, -0.2645089197751, -0.1251653348938, -0.3158152199356, -0.1134753819991, 0.06387570308691, 0, 202.4656185804, -21.13852088489, 206.617569034, -18.51317402017, 274.9698605082, 203.1342704922, 176.4648999724, 282.2211278696, 4383.378818224, 2513.63849124, 4664.922264249, 2879.399583542, 6, 0, -0.1593865220069, 0.007208439112948, -0, -0, -0, -0, -0, 0.8589708767433, 0, 0, 0, 0, 0, 0.8589708835418, 0.6493186752322, 0.626428288685, 0.7695025366581, 0.4806221121648, 88.51408148557, 88.00050084394, 88.57117288357, 88.01063219366, 179.5471372058, 0.03261668820138, -0.04917204060937, -2.3539764061, 1, 120.1904019186, 120, 120.1903764407, 179.5372183028, 176.627334215, 179.5570063315, 176.6479451682, 179.5471372058, 179.5372627162, 176.6273825038, 196.2402450448, 179.5570527204, 176.6479844714, 0.6744013681755, 0, 0.7069382379297, 0.7795893728298, 0.6251281343618, 0.8305076343636, 0.6771350914637, 0.6425248291907, -0.997181147261, -1.032939372184, -0.1593865220069, 0.6735356616295, 0.6389760730774, 0, -1.001432729781, -1.035650668305, -0, 5.551115123126e-17, -0, -0, -0.00396540317476, 0.3176237113993, 0.3246013502148, 0, 0.3165650213856, 0.3232445986716
