Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
        0.118, -0.00174346449785, 0.193842992187, 0.135158285499, -134.839813232, -193.209854126, 5098.11132812, -2.63520956039, 7.25089931488
        0.119, -0.00169133744203, 0.19384200871, 0.135115250945, -135.015426636, -193.555664062, 5098.28027344, -2.63144040108, 7.26609039307
         0.12, -0.00164304999635, 0.193841010332, 0.135072976351, -134.96333313, -193.894012451, 5098.45263672, -2.62775063515, 7.28089666367
        0.121, -0.00159948051441, 0.193840011954, 0.135031431913,  -134.7081604, -194.225082397, 5098.62841797, -2.62413883209, 7.29533338547
        0.122, -0.0015613946598, 0.193839073181, 0.134990662336, -134.277389526, -194.549087524, 5098.80712891, -2.6206035614, 7.30941677094
        0.123, -0.0015294351615, 0.193838194013, 0.134950652719, -133.700714111, -194.866241455, 5098.98876953, -2.61714315414, 7.32316398621
        0.124, -0.00150411424693, 0.193837419152, 0.13491140306, -133.009475708, -195.176742554, 5099.17285156, -2.61375617981, 7.33659267426
        0.125, -0.00148580910172, 0.193836808205, 0.134872928262, -132.236038208, -195.480804443, 5099.35986328, -2.61044096947, 7.34972143173
        0.126, -0.00147475861013, 0.193836376071, 0.134835213423, -131.413162231, -195.778640747, 5099.54882812, -2.60719609261, 7.36256837845
        0.127, -0.00147106440272, 0.193836197257, 0.134798288345, -130.573440552, -196.070465088, 5099.73974609, -2.60402011871, 7.37515306473
        0.128, -0.00147469283547, 0.193836286664, 0.134762138128, -129.748687744, -196.356491089, 5099.93310547, -2.60091114044, 7.38749265671
        0.129, -0.00148548011202, 0.193836718798, 0.134726762772, -128.969421387, -196.636917114, 5100.12841797, -2.5978679657, 7.39960622787
         0.13, -0.00150313915219, 0.19383752346, 0.134692177176, -128.264343262, -196.911941528, 5100.32568359, -2.59488940239, 7.41151094437
        0.131, -0.00152726913802, 0.193838745356, 0.134658381343, -127.659851074, -197.181762695, 5100.52490234, -2.59197354317, 7.42322301865
        0.132, -0.00155736575834, 0.193840429187, 0.13462536037, -127.179733276, -197.446563721, 5100.72607422, -2.58911919594, 7.43475866318
        0.133, -0.00159283378161, 0.193842604756, 0.134593129158, -126.844711304, -197.706512451, 5100.92919922, -2.58632540703, 7.44613170624
        0.134, -0.0016330005601, 0.193845316768, 0.134561672807, -126.672264099, -197.961791992, 5101.13427734, -2.58359074593, 7.45735502243
        0.135, -0.0016771304654, 0.193848595023, 0.134531006217, -126.676353455, -198.212524414, 5101.34179688, -2.58091425896, 7.46844005585
        0.136, -0.00172444013879, 0.193852439523, 0.134501129389,  -126.8673172, -198.458892822, 5101.55175781, -2.57829451561, 7.47939586639
        0.137, -0.00177411385812, 0.193856880069, 0.134472042322, -127.251792908, -198.701004028, 5101.76367188, -2.57573127747, 7.49023151398
        0.138, -0.00182531925384, 0.193861916661, 0.134443730116, -127.832695007, -198.938995361, 5101.97851562, -2.5732228756,  7.5009522438
        0.139, -0.001877222443, 0.193867579103, 0.134416207671, -128.609329224, -199.172958374, 5102.19580078,   -2.57076931, 7.51156330109
         0.14, -0.0019290036289, 0.193873852491, 0.134389460087, -129.577468872, -199.402999878, 5102.41601562, -2.56836938858, 7.52206707001
        0.141, -0.00197987048887, 0.193880721927, 0.134363502264, -130.729568481, -199.629211426, 5102.63964844, -2.56602287292, 7.53246498108
        0.142, -0.00202907156199, 0.193888172507, 0.134338319302, -132.055023193, -199.851654053, 5102.86572266, -2.56372904778, 7.54275608063
        0.143, -0.00207590917125, 0.193896204233,  0.1343139112, -133.540390015, -200.070404053, 5103.09570312, -2.56148743629, 7.55293989182
        0.144, -0.00211974931881, 0.193904787302, 0.134290292859, -135.169799805, -200.285522461, 5103.32910156, -2.55929780006, 7.56301259995
        0.145, -0.00216003064997, 0.193913891912, 0.134267434478, -136.925231934, -200.497039795, 5103.56591797, -2.55715990067, 7.57297086716
        0.146, -0.00219627353363, 0.193923473358, 0.134245365858, -138.787002563, -200.70501709, 5103.80664062, -2.55507326126, 7.58280992508
        0.147, -0.00222808448598, 0.193933516741, 0.134224057198, -140.734085083, -200.909469604, 5104.05078125, -2.55303788185,  7.5925245285
        0.148, -0.00225516129285, 0.193943962455, 0.134203538299, -142.744567871, -201.110427856, 5104.29931641, -2.5510532856, 7.60210895538
        0.149, -0.00227729533799, 0.193954795599, 0.13418379426, -144.796035767, -201.307937622, 5104.55175781, -2.5491194725, 7.61155748367
         0.15, -0.00229437183589, 0.193965941668, 0.134164810181, -146.866073608, -201.50201416, 5104.80810547, -2.54723644257, 7.62086391449
        0.151, -0.00230636959895, 0.193977385759, 0.134146615863, -148.932540894, -201.692657471, 5105.06884766, -2.54540395737, 7.63002252579
        0.152, -0.00231335777789, 0.19398906827, 0.134129196405, -150.974060059, -201.87991333, 5105.33300781, -2.54362177849, 7.63902807236
        0.153, -0.0023154921364, 0.194000959396, 0.134112551808, -152.970306396, -202.063796997, 5105.60205078, -2.54189014435, 7.64787483215
        0.154, -0.00231300876476, 0.194013014436, 0.134096696973, -154.902404785, -202.24432373, 5105.87451172, -2.54020857811, 7.65655851364
        0.155, -0.0023062187247, 0.194025173783, 0.134081602097, -156.753128052, -202.421524048, 5106.15136719, -2.53857684135, 7.66507530212
        0.156, -0.00229549803771, 0.194037422538, 0.134067311883, -158.507217407, -202.595428467, 5106.43164062, -2.5369951725, 7.67342233658
        0.157, -0.00228128070012, 0.194049715996, 0.13405379653, -160.151580811, -202.766052246, 5106.71630859, -2.53546285629, 7.68159675598
        0.158, -0.00226404820569, 0.194062024355, 0.134041056037, -161.675445557, -202.933441162, 5107.00439453, -2.53398013115, 7.68959712982
        0.159, -0.0022443193011, 0.194074317813, 0.134029120207, -163.07043457, -203.097640991, 5107.29589844, -2.53254628181, 7.69742298126
         0.16, -0.00222263974138, 0.194086566567, 0.134017974138, -164.330734253, -203.258666992, 5107.59082031, -2.53116130829, 7.70507478714
        0.161, -0.00219957181253, 0.194098770618, 0.134007617831, -165.452987671, -203.416610718, 5107.88916016, -2.52982497215, 7.71255302429
        0.162, -0.00217568385415, 0.194110885262, 0.133998066187, -166.436416626, -203.571487427, 5108.19042969, -2.52853655815, 7.71986055374
        0.163, -0.00215153908357,  0.1941229105, 0.133989304304, -167.28263855, -203.723358154, 5108.49462891, -2.52729558945, 7.72699975967
        0.164, -0.00212768651545, 0.19413484633, 0.133981361985, -167.995574951, -203.872314453, 5108.80175781, -2.52610206604, 7.73397493362
        0.165, -0.00210465164855, 0.194146677852, 0.133974209428, -168.581359863, -204.018386841, 5109.11132812, -2.52495527267, 7.74078989029
        0.166, -0.00208292738535, 0.194158419967, 0.133967876434, -169.048126221, -204.16166687, 5109.42333984, -2.52385449409, 7.74744987488
        0.167, -0.00206296611577, 0.194170057774, 0.133962363005, -169.405776978, -204.302230835, 5109.73730469, -2.52279949188, 7.75396060944
        0.168, -0.00204517366365, 0.194181606174, 0.133957654238, -169.665802002, -204.440139771, 5110.05322266, -2.52178955078, 7.76032876968
        0.169, -0.00202990300022, 0.194193065166, 0.133953765035, -169.840942383, -204.575485229, 5110.37109375, -2.52082395554, 7.76656103134
         0.17, -0.00201744958758, 0.194204464555, 0.133950695395, -169.944976807, -204.708343506, 5110.69091797, -2.51990222931, 7.77266454697
        0.171, -0.00200804835185, 0.19421581924, 0.13394844532, -169.992477417, -204.838790894, 5111.01171875, -2.51902389526, 7.77864646912
        0.172, -0.00200187088922, 0.194227129221, 0.133947014809, -169.998428345, -204.966934204, 5111.33447266, -2.51818799973, 7.78451538086
        0.173, 0.0096659110859, 0.216035604477, 0.0948960185051, 4.72277164459, -252.77394104, 10775.0058594,  -2.076141119, 15.3398237228
        0.174, 0.00713457446545, 0.267656683922, 0.0934964939952, 62.8398666382, -252.008239746, 10760.0224609, -1.99643301964, 15.2984008789
        0.175, 0.00495355809107, 0.303677171469, 0.096354983747, 106.358329773, -253.161819458, 10727.9980469, -2.15331578255, 15.3141956329
        0.176, 0.0026825258974, 0.338512539864, 0.100678235292,  137.39994812, -255.35194397, 10680.5341797, -2.38205742836, 15.3766059875
        0.177, 0.000370644760551, 0.372027009726, 0.106442198157, 155.814926147, -258.527374268, 10618.0556641, -2.67999982834, 15.4842176437
        0.178, -0.0019272621721, 0.403959929943, 0.113613285124, 161.754699707, -262.630554199, 10541.0087891, -3.04341816902, 15.6347465515
        0.179, -0.00415884610265, 0.434091687202, 0.122151404619, 155.686843872, -267.59588623, 10449.9199219, -3.46781849861, 15.8248205185
